stage,axial,blastomeres,endoderm,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,71.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.5,4.68,15.69,0,0,0,0,0,0,0,0,58.1,0,9.61,0,0,0
 10-12,0,0,0,4.23,0,0,0,0,0,0,0,0,62.97,0,5.36,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.93,0,0,0,10.6,0,0,0,0,0
 24-34,0,0,0,1.96,0,0,1.75,0,0,0,0,0,19.98,0,0,0,3.03,0
 36-46,0,0,0,0,4.1,0,0,0,0,0,0,0,7.91,0,0,1.55,2.91,0
 48-58,0,0,0,2.72,4.4,0,0,0,0,2.38,0.53,0.59,4.36,0.4,0,0,1.41,3.45
 60-70,0,0,0,0,2.98,0,0,0,0,3.65,5.19,0,3.88,0,0,0,1.11,0
 72-82,0,0,0,1.11,0,0,0,0.82,0,2.55,1.11,0,3.63,1.32,0,0,0,0
 84-94,0,0,0,2.5,4.49,0,0,1.28,0,1.46,0.61,0,0,0,0,0,0,0
 96-106,0,0,0,6.55,0,2.56,0,0,0,0,1.27,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.43,0,2.11,0,2.48,0,0,0,0,0,0,0,0
120,0,0,0,14.43,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0
