stage,blastomeres,epidermis,eye,glial,gut,lateral.line,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm
  5-6,6.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.64,0,5.14,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.84
 14-21,0,0,1.31,0,0,0,0,0,0.99,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.91,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.79,0,0,0
 48-58,0,1.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,3.69,0,0,0
 72-82,0,0,6.66,0,0,0,5.47,0,0.95,0,0,0
 84-94,0,0,0,0,0,0,28.37,0,0,0,0,0
 96-106,0,2.19,10.08,1.66,1.95,1.42,109.26,1.41,12.86,0,0,0
108-118,0,0,2.14,1.74,0,0,222.26,5.01,11.63,0.51,0,0
120,0,0,8.34,0,1.91,0,124.52,0,4.6,0,0,0
