stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,14.11,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.17,26.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,10.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,17.09,0,0,0,0,0,0,0,0
 14-21,0,0,1.74,0,1.26,0,0,0,0,0,0,0,0,0,0,0,2.78,0,1.8,21.16,2.35,0,0,0,0,0,0.96,0,0,0,0,0
 24-34,0,0,0.62,0,1.82,0,0,0,0.7,0,2.59,2.16,0,0.69,0,0,3.03,0,0.63,43.39,0,0,0,0,0,4.67,0,0.7,10.98,0,0,0
 36-46,0,0,0.84,0,3.88,0,0,0,2.74,0,0,0.75,0,0,0,0,0,0,0,58.25,0,0,0,0,0,0.75,0,0,6.29,0,0,0
 48-58,0,0,0.38,0,2.92,0,2.15,0,0,0,0.37,1.78,0,0,0,6.68,3.78,0,5.26,16.01,0,0,0,0,0,0,0,0,6.32,0,0,0
 60-70,0,0,1.67,0,21.79,0,1.76,0,4.06,0,0,0,0,0.58,0,0,4.53,0.87,0.98,31.18,0,1.43,0,0,0,0,0,0,1.97,0,0,0
 72-82,0,0,1.29,0,11.12,0,0,0,3.11,0,0,0,0,0.55,0,0,0.83,5.13,0,28.28,0.63,0,0,0,0,0,0,0,0,0,0,1.26
 84-94,0,0,4.73,0,8.22,0,0,0,4.07,0.68,0,0,0,0,0,0,1.62,0,0,22.75,1.16,0,5.25,0,0,10.75,0,0,0,0,0,0
 96-106,0,0,3.88,1.15,2.52,0,0,0,3.72,0,0,0,1.18,2.51,0,0,1.64,0,0,10.11,0,0,0.78,0,0,1.91,0,0,0,0.81,0,0
108-118,0,0,1.03,0,9.06,0.54,0,0,5.97,0,0,0,2.53,0.89,0,0,6.34,0,2.9,9.47,4.5,0,0,0,1.83,2.75,0,0,0,0.84,0.97,0
120,0,0,7.37,3.26,18.57,0,0,3.67,0,0,0,0,0,1.63,3.78,0,4.43,0,0,35.28,0,0,0,0,0,2.22,0,0,0,0,0,1.43
