stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.54,0,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.36,5.7,0,0,27.55,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,32.97,7.58,1.82,0,1.88,0,2.58,1.46,0,0,0,0,0,0,0,2.29,6.36,0,0,8.02,34.63,0,0,0.8,0,0,0,0,5.52,0,1.71,30.07,0,0,2.06,0,0
 24-34,0,0,0.71,0,54.29,0.89,0,0,10.56,0,1.52,0,0,0,0,0,0.85,0.86,0,4.3,11.31,5.79,0,3.2,35.26,0,0,0,0,0,0.78,0,2.01,0,0,11.89,0,0,25.87,0,2.82
 36-46,0,0,0,0,59.74,0,4.99,0,10.54,1.91,6.08,0,0.76,2.39,0,0,0,0,0,3.91,31.2,1.01,2,7.24,60.57,0,0,0,0,0,0,0,4.45,4.82,0,28.91,0,0,23.54,0,6.27
 48-58,0,0,0,0,49.69,0,0.76,0,13.31,2.43,16.26,0,0,0.42,0,0,3.71,0,0,0,34.26,3.93,2.38,2.24,89.06,0,0.38,0,0,0,0,0,1.59,0.62,0,38.55,0,1.36,23.02,0,29.9
 60-70,0,0,0.57,0,74.66,0,23.12,0,40.74,1.03,24.47,0,0,1.29,0,3.1,9.51,0.63,0,0,55.03,0,3.14,9.19,237.4,0,0,0,0,0.71,0,0,2.71,0,0,16.08,0,4.35,13.79,1.41,13.76
 72-82,0,0,0.83,0,29.66,0,24.17,4.05,14.32,0,16.85,0.64,0,5.83,0.5,0.53,14.49,0,0,8.64,77.92,1.44,3.99,4.52,345.45,0,0,2.03,0,0.71,0,0,0,0.79,0,33.63,0,4.33,22.43,18.79,7.31
 84-94,0,0,0,0,71.76,0,19.97,0,30,0.6,32.75,0.57,0,2.01,4.46,1.12,18.56,0.69,0,1.87,92.8,0,20.66,3.19,246.97,1.43,3.34,0,0,0,0,0,2.09,0,0,20.25,1.8,2.78,21.41,17.84,0.8
 96-106,0,0,0,0,74.14,2.68,27.72,0,11.94,1.53,15.49,2.74,0,0.75,4.29,0,5.14,2.84,0,0,90.7,2.9,6.9,0.58,211.21,0.79,1.76,3.56,0,4.17,0.58,0,0,0.58,0,15.37,1.34,2.94,29.16,28.65,3.25
108-118,0,0,3.62,0,112.46,1.5,30.6,0.47,37.38,2.37,10.55,1.54,0,1.56,5.14,1.48,34.32,0,0.9,3.22,113.5,7.49,6.1,6.51,339.56,0,0,0.48,0,5.07,4.9,0,0.99,0,0,4.28,1.18,6.57,13.84,7.15,13.09
120,0,0,0,0,123.75,19.05,23.73,6.5,25.09,0,24.53,1.09,0,7.76,1.68,2.5,6.59,0,0,0,89.1,5.75,15.97,6.93,674.61,0,0,2.3,0,17.57,0,2.5,3.25,0,0,24.81,0,10.44,46.58,14.49,0
