stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,6.17,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.16,0,0,0,0,1.2,0,0.81,0,0,0,0,13.82,0,0,0,30.35,0,0,0,0,0,27.99,0,0,0
 24-34,0,5.67,2.16,0,0,0,1.36,0,1.09,0,0,0,0,0,0,1.3,0,0,1.46,87.24,3.97,0,0,0,0,20.48,0,0,0
 36-46,0,0.98,0,0,2.14,0,0.58,0,1.3,0,0,0,0,0,0,0,1.76,0,0,107.15,21.64,0,0,0,1.06,13.4,2.13,0,0
 48-58,0,0,0,0,1.72,0,0,0,2.96,0,0,0,0,0,0,0,0.98,0,0,170.49,14.41,0.43,0,0,1.07,14.77,10.54,0,0
 60-70,0,0,0,15.48,4.51,0,0,0,5.04,0,0,0,0,0,0,0,2.54,0,0,162.68,16.44,0,0,0,0,4.82,7.74,0,0
 72-82,0,1.22,0.96,4.19,26.02,0,0,2.81,24.8,0.74,0,0.66,1.59,0,0,0,3.23,0,0.83,277.6,11.95,0.51,0,0,0,11.05,49.86,0,1.38
 84-94,0,3.32,2.31,0,18.69,0,0,0,8.32,0,0,1.06,1.06,0,0,0,17.22,0,0.57,192.36,3.95,3.21,0,0.57,1.09,2.98,37.5,8.86,0
 96-106,0,1.17,0,0,63.53,0,0,1.65,4.56,1.06,0,0,0,0,0,0,7.67,0,0,168.17,14.63,7.17,0,0.75,0.87,7.28,47.85,7.51,0
108-118,0,1.96,1.7,0,24.46,0,0.57,0,17.89,0.7,0,0,5.39,0.43,0,0,4.89,0.62,1.49,194.77,24.19,2.97,0,0,0.64,9.79,47.49,6.36,0
120,0,7.35,0,6.25,29.9,1.99,0,5.27,65.48,0,0,0,6.79,0,2.6,0,19.1,0,3.01,503.4,17.23,0,0,2.27,0,3.5,71.01,4.11,0
