stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,heart,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,taste
  3-4,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,9.74,0,0,0
 14-21,0,2,0,0,0,0.93,0,0,0,0,0,2.76,0,0,0,0,0,2.62,0
 24-34,0,2.22,0,0.59,0,0,0,0,0,0,0.72,5.27,0,0,3.49,0,1.06,0.78,0
 36-46,0,0,0,0.66,0,0,0,0,0,2.45,0,14.61,0,2.96,0.82,0,1.77,2.11,0
 48-58,0,0,0,3.85,0.38,0,0,0,0,0.77,1.15,4.8,7.54,0.5,0.64,0,1.1,0.42,0
 60-70,0,0,0,2.15,0,0,0,0,0,1.14,0,0,6.79,1.42,0,0,0,4.1,0
 72-82,0,1.94,0,3.64,0,0,0,1.68,0,5.21,0,1.46,0,0.49,0.59,0,0,0,0
 84-94,0,0,0,8.58,0,0,0.55,0,0,9.38,0,1.72,2.04,1.32,0.69,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.97,1.08,0,2.63,3.53,2.04,0,0,0,0.99
108-118,0,1.73,2.38,1.85,0,0,0,0.62,1.44,8.23,0.59,0,4.22,0.46,0,0,1.39,0,0
120,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,2.96,0
