stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,35.97,1480.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97,0,0,0,0,0
  5-6,57.78,2040.51,0,0,0,0,0,0,0,0,0,60.13,0,0,0,13.83,10.51,0,0,0,0,0
  7-9,14.17,5,8.64,0,0,44.01,0,0,0,0,0,328.21,26.39,0,0,83.46,0,7.62,0,0,0,0
 10-12,0,9.32,48.43,0,0,10.59,0,4.52,0,0,0,265.96,3.44,0,0,49.86,0,0,0,25.97,0,0
 14-21,0,0,0,1.19,0.81,0,0,0,0,0,0.83,3.64,0,0,0,0.9,0,0,2.85,0,0,0
 24-34,0,0,1.03,2.13,0,2.39,1.57,0,1.41,0,2.98,13.1,0,0,0,0,0.65,0,0,0,4.83,0
 36-46,0,0,0,0,0,0.65,0,0,0,0,0,6.58,0,0.6,0.63,0,0,0,0,0,2.81,0
 48-58,0,0,0,0,0,3.94,1.27,0,6.36,0,0.99,3.61,0,0,0,0,0,0,0,0,1.69,0
 60-70,0,0,0,0,0,0,0.94,0,0,1.34,0,5.8,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.08,0,0,12.74,0,0,1.78,0,0,0,0,0.86,0,0,0,0,1.25
 84-94,0,0,0,0,0,0,2.23,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.14,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0
