stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.74,0,0,4.1,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0.83,46.11,0,0,0,0,0
 24-34,1.32,0,0,0,0,0,0,0,0,1.35,95.91,1.25,0.9,0,0,100.03,0,0,0,0,0
 36-46,0,0,9.54,0,0.57,0,0,0,1.06,0,239.93,0,0,0,0,189.86,0,0,0,0,0
 48-58,5.82,2.56,20.94,0,0,4.44,0,0,0.57,0,487.9,0,0,0,0,148.85,0,0,0,0,0
 60-70,0,0,44.88,0,0,5.13,0,0,0,0,571.08,0,0,0,0,113.05,0,0,0,0,11.3
 72-82,1.04,0,49.08,0,0,2.63,0,0,2.56,0,760.57,0,0,0,0,88.56,0,0,0,0,0
 84-94,2.18,0,58.74,0,0,9.88,0,0,1.42,0,623.1,0,0,0,0,76.11,0.9,2.27,0.97,0,0
 96-106,4.74,4.87,52.47,7.66,0,4.18,0.93,0,3.79,0,468.72,0,0.56,0,0,33.53,0,0,0,0,0
108-118,5.39,0,58.88,0,0,11.95,0,0.43,2.52,1.41,499.73,0,1.3,0,0,13.45,0,0,0,0,0
120,0,0,36.07,0,0,27.1,0,0,2.22,0,514.01,0,13.55,0,0,48.65,0,0,0,2.57,0
