stage,endocrine.pancreas,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,0,0,3.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.38,0.85,0,0,0,0,0,2.63,0,0.89,30.89,0,0.91,0,0,0,1.22,5.08,17.09,0,0.89,0,0
 24-34,0,0,4.62,0,0,1.85,0,0,1.75,0,0,0,9.15,0,1.04,145.99,1.82,1.88,0,0,0,0,0,57.57,0,3.2,0,0.89
 36-46,0,0,31.67,0,0,6.82,0.75,0,0,0,0,0,4.35,0,0.56,262.16,0,0,0,0,0,0,0,60.68,0,1.04,0,0
 48-58,0,1.19,93.15,0,0,17.44,0.7,0,0,11.64,0,0,18.25,0,9.49,362.8,0,1.22,0,0,0,0,0,53.94,0,0.63,0,0
 60-70,0,0,257.78,0,0,12.7,0,0,0,1.52,0,0,26.65,8.75,1.66,392.43,0.99,0,0,0,0,0,0,49.83,0.73,0.87,0,10.22
 72-82,0,0.62,231.53,0,1.97,8.76,0,0,0,1.08,0,0,29.2,0,4.02,359.71,0,3.91,0,1.05,0.51,0,0,22.9,0.66,8.41,0.59,3.99
 84-94,0,0,108.73,0,0,14.53,0,2.56,0,0.67,0,0,20.66,1.29,0,192.94,0,1.69,0,0,0,0,0,17.44,3.52,0,0,8.15
 96-106,0.94,0,82.16,0,0,2.83,0,0,0,0,1.24,1.69,19.28,1.24,2.91,200.01,0,3.09,0,0,5.12,0,0,10.2,7.35,1.17,0.69,0
108-118,0,3.04,77.1,0.46,0,15.85,0,0,0,3.36,0,0,9.71,0,0,203.51,0,0,0,4.04,2.52,0,0,0.47,0,0,2.49,10.29
120,0,0,28.33,0,0,25.12,1.85,0,0,0,0,0,14.38,0,1.26,202.64,0,0,0,0,0,0,0,2.39,3.38,3.87,0,0
