stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,23.49,976.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034.97,0,0,0,0,0
  5-6,6.55,314.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,4545.46,0,0,0,0,0
  7-9,0,42.58,0,14.44,0,0,0,12.14,0,0,0,5.75,0,0,0,0,0,0,0,0,116.97,0,0,39.69,778.6,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.78,0,0,3.39,101.03,0,0,0,0,0
 14-21,0,0,0,0,10.09,0.92,0,0.98,0,0,0,0,0,0,0,0,0,0,0.97,0,2.66,0,0,0.9,567.16,0,0,10.66,0,0
 24-34,0,0,0,0,28.36,0,0,1.43,0.77,0,1.48,0,0,0.65,0,0,0,2.29,1.73,0.88,38.93,5.65,1.55,0,334.21,0,0,5.14,0,0
 36-46,0,0,0,0,57.26,0,0,1.78,0,2.55,0.65,0,0,9.08,0,0,0,0.64,8.84,1.71,58.58,1.53,0.84,0,534.2,0,0,9.19,0,0
 48-58,0,0,0,0,57.34,0,0,2.04,1.55,0,0.38,0.37,0,0,0,0,0,1.77,1.01,0,19.8,1.89,1.96,0,225.46,0,0,5.21,0,0
 60-70,0,0,0,0,26.82,0,0,2.32,0,0,0,0,0,0,4.06,0.86,0,0,1.78,0,10.29,1.43,1.82,0,92.29,0,0,0,4.81,0
 72-82,0,0,0,0,29.8,0,0,23.6,0,4.94,0,0,0,0,0,0,0,0.53,0,3.06,3.42,2.07,3.09,0,50,0,0,0,12.06,0
 84-94,0,0,0.89,0,26.83,4.23,0,18.73,0,0.81,2.79,0,0,2.32,0,0,0,0,3.83,0,17.11,5.96,8.37,0,118.7,0,0.73,0,1.93,0
 96-106,0,0,6.13,0,21.37,0,0,3.33,2.86,6.07,4.16,0,1.15,1.22,0,5.88,0.76,3.39,0,0,3.14,3.72,20.1,0,49.57,2.7,0,0,8.39,1.72
108-118,0,0,4.8,0,14.01,0,0.82,14.44,0.48,2.53,6.86,0,0,4.05,0,0.43,0,9.6,0.46,0,0.76,4.08,10.05,0,69.38,0,0,0,5.29,0
120,0,0,7.01,0,1.07,0,2.59,15.21,2.14,0,3.38,0,0,0,0,0,0,0,0,0,0,5.06,17.83,0,35.09,0,0,0,2.24,0
