stage,endoderm,epidermis,eye,glial,heart,mesenchyme,mucous,neural,olfactory,periderm,pronephros,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,3.04,0,1.45,0,0.81,0
 24-34,0.73,0,0,0,0.68,0,0,6.11,0,0,0,0,0.6
 36-46,0,0,0,0,0,0,0,4.86,0,5.92,0.74,0,0
 48-58,0,4.12,0.85,1.16,0,0,0,23.13,0,0.5,0,0,4.43
 60-70,0,0,7.92,0,0,0,0,41.98,0,0,0,0,7.25
 72-82,0,0,2.96,0,0,0,0,20.18,0,0.54,0,0,0
 84-94,0,0,3.83,1.12,0,3.09,0,9.39,0,0,0,0,0
 96-106,0,6.65,10.63,0,0,0.67,1.5,30.28,0,0,0,0,1.39
108-118,0,0,4.75,0,0,0.82,0,30.85,0.59,0,0,0,0
120,0,0,10.24,0,0,0,0,13.41,1.09,0,0,0,0
