stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,otic,pronephros,vasculature
  3-4,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0
 14-21,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0.83
 24-34,0,0,0,0,1.11,0,0,0,0,0,2.4,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0
 48-58,0,0,2.84,1.18,0,0,0,0,0,7.25,1.92,0,0,0,0
 72-82,0,0,0,1.05,0,0,0.66,0,1.21,0,0,1.04,1.06,0,0
 84-94,0,0,0,0,0,3.81,0,4.23,1.37,0,3,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.32,0,0.88,0,0,0,0
108-118,0,0,0,0,0,0,1.72,0.59,0,0,1.21,0,0,0.42,0
120,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0,0
