stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,451.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.01,0,0,0,0,0,0,0,0,0,0
  5-6,302.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,15.62,0,0,0,0,0,0,0,0,0,0
  7-9,58.95,0,117.9,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.28,0,0,0,146.6,0,3.63,4.77,0,0,0,0,0,0,0,0,0
 10-12,28.81,0,43.06,0,7.8,23.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.46,3.17,0,0,29.67,0,4.52,10.95,0,0,0,4.47,0,0,0,0,0
 14-21,0,0,0,17.5,0,1.12,0,0,0,0,0,7.09,0,2.63,8.62,0,0,0,0,3.75,0,0,3.02,17.92,2.59,6.26,0,0.94,0,1.03,0,0,1.06,18.95,14.95,0,0,0.99,0,0
 24-34,0,0,0,16.85,0,0.94,0,3.17,0.64,3.73,0,0,0.98,3.65,2.6,0,2.37,0,0.94,5.63,2.93,0,5.06,21.19,1.67,10.02,0,0,0,19.17,0,0.84,0.94,1.99,7.81,0,0,0.68,0,0
 36-46,0,0,0,8.72,1.95,12.15,0,2.28,0,3.02,1.28,5.16,0,15.96,1.26,0,0.6,0,6.8,10.17,1.49,0,4.81,35.33,0,2.6,0.97,0,0,34.56,0,0,0,0,7.43,0,0,0,0,1.39
 48-58,0,0.44,0,15.07,0,6.27,0,1.31,1.13,3.47,0.49,6.14,4.11,18.52,7,0,1.26,0,0.58,32.76,1.28,1.16,3.73,16.4,6.74,4.76,1.78,0,0,45.4,0,0,0.4,0,4.41,0,0,4.97,0,0
 60-70,0,0,0,21.23,0,15.55,1.17,17.61,3.49,17.55,0,4.48,0,94.21,0,0,5.88,0,0,96.38,3.71,0.63,5.24,22.99,0,1.57,4.59,0,0,68.55,0,0,2.41,0,21.79,0,2.25,2.89,0,6.67
 72-82,0,0,0,21.91,5.41,11.75,0,7.07,0.98,14.82,1.85,2.84,3.25,6.39,10.61,0,2.27,0.88,0,82.72,7.94,3.24,9.39,68.37,0,9.56,4.35,0,0.84,46.41,0,1.49,0.53,0,17.65,0.87,2.33,10.65,0.74,0
 84-94,0,1.01,0,44.32,7.29,35.37,0,10.57,1.81,6.14,1.31,0.77,2.41,21.2,3.78,0,0.9,0.57,2.24,78.85,12.25,2.75,1.72,30.93,0.65,6.84,1.05,0,0,153.84,0,0.68,0,0,14.11,2.35,0,5.04,0,0
 96-106,0,0,0,49.41,12.37,38.93,2.05,7.04,7.73,22.94,16.21,1.32,2.51,32.58,7.3,0,2.15,1.45,8.77,102.25,6.9,0,11.64,65.24,0.73,11.35,9.02,0,0,163.11,0,0,4.96,0,6.93,7.57,0.76,4.3,0,0.86
108-118,0,0,0,43.64,11.1,14.47,7.49,16.42,0.53,33.23,4.15,0,1.69,41.83,4.23,12.17,5.59,2.75,4.72,126.24,8.22,4.28,10.28,103.31,2.35,9.7,7.51,0,3.03,142.83,0,0.53,0.56,0,10.16,2.87,0,15.62,0,6.47
120,0,0,0,51.98,0,11.07,0,23.15,8.73,43.84,10.55,0,13.62,35.32,14.67,0,9.65,2.18,0,114.21,0,0,8.73,78.56,6.07,1.91,4.68,0,0,146.79,0,9.01,0,0,0,2.39,5.06,11.88,0,0
