stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.52,0.98,0,0,0,0,0,0,0,2.77,1.02,0,0,0,0,0,0,0,16.05,0,1.11,16.16,0,0,0,0,0,0,0,2.39,0,0,109.31,0,0,0,0,0
 24-34,0,2.52,0,3.32,1.73,0,5.33,0,0,0,1.93,0,0,0,0,0,0,4.62,0,0,38.54,0,9.84,214.72,0.67,1.03,0,0,0,0,0.98,0,0,0,323.37,0,0,18.83,0,0
 36-46,0,0.98,0,0,2.81,0,10.14,0,0,0,11.07,0,0,2.5,0,0,0,8.63,0,0,37.34,0,25.53,332.85,0,1,0,0,0,0,0,0,2.92,0,513.02,0,0,7.75,0,0
 48-58,0,2.3,0,3.43,0.64,0,34.61,0,0,0.73,27.49,0,0,0.44,0,0,0.97,2.47,0,0,65.23,0,47.85,546.63,0,0.91,0.61,0,0,4.51,0,0,0,1.46,485.73,0,0,2.68,0,1.88
 60-70,0,2.74,0,11.26,0,0,117.78,3.7,0,1.37,26.68,3.34,0,1.17,0,0,0,1.38,0,0,99.03,0,41.38,755.29,0,0,0,0,0,8.8,0,0,0,0,407.07,0,0,1.75,0,0
 72-82,0,18.15,0,45.52,1.81,0,179.8,8.37,0,1.61,26.16,7.91,0,9.67,0,0,0,0,1.81,0,143.7,2.79,40.24,824.24,0,3.09,1.4,0,0,0,8.27,0,0,0,313.42,0,0,0,0,3.06
 84-94,0,23.74,0,83.64,0,0,142.09,9.96,0.96,1.85,23.93,14.15,0,1.04,1.06,0,0,3.78,0,4.96,98.45,2.51,25.04,764.79,0.65,5.15,0,0,1.49,0,0,0,0,0,171.73,5.35,0,0.97,0,0
 96-106,0,17.14,0,47.64,0,0,123.84,18.48,2.36,1.85,28.69,7.55,0,0,1.6,0,0,0.72,0,0,66.69,0,42.16,448.9,0,4.69,1.62,0,0,3.1,17.79,0,0,0,92.4,0.73,0,0,5.99,0
108-118,0,18.48,0,13.62,0,0,73.48,8.72,2.3,3.75,30.76,6.15,0,12.47,0,0.86,0,0.55,4.52,0,128.52,0,34.95,559.24,0,5.61,0.83,0,0,0.67,0,0,0.84,0,119.31,2.29,0.84,4.03,0,0
120,0,11.72,0,23.62,0,14.01,150.47,16.01,5.76,0,38.91,17.75,0,0,0,0,0,0,0,0,132.58,0,30.8,1069.55,5.7,4.18,4.64,0,19.8,0,0,0,0,0,198.95,1.12,0,7.99,0,0
