stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,40.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.96,0,0,0,0,12.14,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,25.91,0,0,0,20.43,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,8.78,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.65,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.64,2.71,2.47,0,27.2,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,3.08,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.48,0,137.63,0,0,0,0,0,0,0,1.18,0,0,0,0,0.75,0,0,0,4.92,0,0,0,0,10.54,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,2.01,0,85.46,0,2.58,0,6.71,0,0,0,0,0,0,0,0,0.56,0,0,0,8.73,4.07,0,0,0,3.79,0,0,0,5.58,0,0,0.75,0,0
 48-58,0,0,0,3.1,0,35.5,0,0.55,0,8.77,0,0,0,0,0,0.45,0,0,2.11,0,0,0,7.94,0,0,0.9,0,2.17,0,0,0,4.8,0,0,0.42,0,0
 60-70,0,0,0,1.63,0,941.89,0,0.76,0,1.29,0,0,0,0,0,0,0,0,6.92,0,0,0,28.65,0,0,1.49,0,1.99,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,14.94,12.52,3758.37,0,1.08,0.56,29.35,2.32,0,0.67,0,4.44,0,11.56,0,42.62,2.87,1.35,1.78,144.21,0,0,11.45,0,6.05,0,0,0,20.85,0,2.56,4.89,0.86,3.27
 84-94,0,0,0,23.73,3.9,5000.36,1.69,6.37,7.75,17.65,0,0,0.82,3.16,2.16,0,0,0,25.93,0,4.36,7.52,33.42,1.16,0,6.92,0,1.21,0,0,0,5.25,2.5,0,2.79,0,0
 96-106,0,0,0,10.19,18.8,4631.25,0,4.82,0,14.56,1.52,0,0.65,2.15,5.71,0.71,13.8,0,17.41,0,0,0.9,120.14,0,2.99,24.59,0,20.88,0,1.06,2.51,4.76,0.67,1.93,0,0,8.86
108-118,0,0,0,13.56,2,4060.67,1.94,1.51,1.1,11.5,0.58,0,0.97,0.47,2.1,0,0,0.66,53.38,5,2.88,2.67,105.25,0.83,0.64,11.73,0,11.04,0,0,0,15.17,0.77,0,6.73,0,0
120,0,0,0,29.69,17.72,5927.9,0,2.05,2.59,36.7,1.42,0,0,0,0,0,4.53,0,53.45,0,3.38,0,201.46,0,5.32,7.66,0,6.98,0,1.62,0,5.97,0,0,0,0,7.58
