stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,376.35,5911.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,1241.34,15494.06,0,23.46,0,0,0,0,0,0,0,0,0,54.93,0,0,0,0,0,0,0,0,0,0,0,603.78,93.71,0,0,175.3,345.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,446.5,412.16,0,975.48,0,0,0,1252.81,0,0,0,0,0,731.86,0,0,0,0,0,0,0,0,0,0,0,14155.41,624.24,0,0,5469.23,46.32,126,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,338.59,0,651.98,0,113.55,0,908.5,0,0,0,0,0,188.01,0,0,0,0,0,0,0,0,0,0,0,8700.83,104.81,0,0,3895.73,46.45,119.7,23.11,397.27,0,12.35,20.33,0,0,0,0,0
 14-21,1.39,2.85,0,52.74,612.31,141.3,0,225.66,0,0.91,0,58.2,14.34,0,3.21,9.7,6.2,0,0.84,12.11,0,249.9,2.2,0,323.69,3029.71,75.91,35.38,48.15,171.4,216.3,2.21,555.57,33.34,2.36,461.41,1139.18,0,0,16.75,0,0
 24-34,0,0,0,13.85,240.25,45.37,0,528.65,0,5.55,0,80.38,9.61,0.67,5.15,12.82,2.19,18.39,12.43,4.22,0,535.87,3.5,4.7,242.28,4201.14,108.59,51.72,44.35,0,502.72,0,0.93,11.1,0.66,31.36,1156.63,0,0,131.65,0,16.09
 36-46,0,0,0,2.55,178.71,33.58,0,1426.62,3.84,4.53,2.23,116.74,6.95,0,4.3,35.51,17.71,24.25,5.52,5.5,0,597.48,4.42,14.81,210.85,3707.69,22.41,29.02,31.43,0,244.04,0,0,6.24,0,0,946.73,0,0,57.1,0,20.85
 48-58,0,0,0,0.55,162.61,25.25,0,1543.34,1.5,4.38,0.72,94.39,7.68,0,16.47,20.84,0.5,16.93,10.81,3.61,5.61,587.9,2.76,25.8,128.43,1654.62,18.2,8.36,43.26,0,103.19,0,2.72,4.44,0,0,287.34,0,0,53.09,0,39.99
 60-70,0,0,0,0,163.22,12.19,0,1083.09,0,3.95,2.02,94.74,11.54,0,5.48,19.73,0,15.47,18.22,5.01,5.25,404.1,2.64,65.43,68.19,856.27,13.58,5.37,36.8,0,71.23,0,0,2.56,3.27,0,53.31,3.21,2.87,35.9,1.46,0
 72-82,0,0,1.84,0,96.96,9.7,0,407.1,0.55,0,3.65,65.92,37.83,0,10.76,21.89,2.84,36.22,0,4.31,0,357.14,5.3,19.77,52.26,431.67,9.67,10.5,11.68,0,22.82,0,0,2.64,3.93,0,12.08,1.26,0,47.42,0,10.33
 84-94,0,0,0,4.14,123.46,48.22,6.7,422.01,0,0,6.07,81.59,84.75,0,4.82,32,6.09,15.61,2.06,24.06,0,344.49,1.18,32.87,83.92,470.82,14.03,14.8,17.89,0,55.47,0,0,19.09,0,0,8.67,10.63,1.8,87.16,0.77,0
 96-106,0,0,0,0.87,92.26,25.26,3.6,266.88,0.71,4.09,3.4,66.28,73.06,0,7.39,32.96,4.91,9.82,4.38,22.29,0,210.68,0.83,13.1,33.21,327.98,11.07,11.46,18.05,0,50.64,0.93,0,7.81,0,0,8.8,13.12,0,58.98,0,0
108-118,0,0,0,1.15,81,29.87,4.22,274.89,2.21,2.58,1.45,75.38,44.89,0,0.63,28.36,6.61,11.08,1.66,34.74,1.3,171.47,3.45,34.92,49.65,462.96,8.01,18.09,19.85,0,54.01,0.42,0,11.51,0.41,0,13.53,15.09,0,41.79,0,1.25
120,0,0,0,0,29.97,42.54,5.29,328.15,1.61,1.22,0,99.98,13.93,0,0,42.93,0,29.78,0,15.65,0,154.85,0,4.9,19.85,615.53,4.72,8.84,10.55,0,23.23,0,0,1.22,0,0,13.07,7.85,0,43.3,3.15,15.11
