stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.93,13.84,5.27,9.63,0,0,0,4.59,4.13,0,0,0,0,0,0,12.74,0,0,8.92,140.06,3.24,0,1.98,3.18,0,0,1.44,17.74,0,0,16.1,52.43,0,0,0,0,0
 24-34,0,1.21,6.04,2.03,13.88,0,2.42,0.69,0.65,2.49,1.01,0,0,0,0,0,28.76,0,0,15.9,217.54,0.92,1.32,7.17,0,0,1.97,0,1.1,0.7,0,3.7,44.27,0,0,6.89,0,0
 36-46,0,0,6.47,1.01,9.28,0,0,0,19.38,0,0,0,0,0,0,0,9.26,0,0,3,149.82,0,0,1.18,0,0,0.83,0,0,0,0,0,20.39,0,0,3.98,0,0
 48-58,0,0,8.95,0,22.37,0,0,3.8,14.34,0,0,0,0,0,0,0.59,21.7,0,1.39,4.24,169.27,0,0,7.54,0,0,0,0,0,0,0,0,19.22,0,0,0.62,0,0.44
 60-70,0,0,0.71,0.59,57.25,0,1.31,2.35,9.5,0,0,0,0,0,0,0,19.25,0,0,6.85,182.47,0,0,2.14,0,0,0,0,0,0,0,0,28.29,0.61,0,3.48,0,1.7
 72-82,0.5,0,3.78,0.5,26.46,0,0,0.66,14.02,0.51,4.8,0,0.64,0.79,0,0,29.2,0,6.39,1.41,197.84,0,0,3.76,0,0,0.54,0,0,0,0.53,0,12.64,0,1.08,2.32,0,0
 84-94,0.7,0,4.37,0,23.84,0.91,1.98,2.94,5.8,1.18,0,0,0,0,0,1.11,30.26,0,0.93,6.37,150.46,0,0,0,0,0,0,0,0,0,0.57,0,10.66,0,3.92,3.63,0.57,0
 96-106,0,0,10.09,2.85,26.38,0,2.39,1.51,9.87,0.78,5.68,0.74,1.98,0.63,0.59,0,36.64,0,3.98,5.86,197.37,0,0,2.07,0,0,1.21,0,0,0,0,0,6.78,0,4.6,1.73,0.88,13.63
108-118,0,0.74,4.57,0,12.78,0,0.91,0.59,3.7,0,0,0,0.44,0,0.7,0,30.3,0,1.84,6.98,168.99,0,0,0.48,0,0,0,0,0,0,0,0,13.47,0,0,3.48,0,0
120,2.94,0,6.99,0,24.04,0,2.59,3.99,6.64,0,0,0,1.17,0,0,0,46.3,1.49,0,7.11,246.26,0,0,0,0,3.42,0,0,0,0,0,0,33.27,0,2.41,17.21,0,0
