stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,91.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.38,0,0,7.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,0,0
 14-21,0,0,2.61,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0.89,0.87,0,0,0,0
 24-34,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,28.94,1.28,0.69,0,0,0,3.45,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,5.02,0,0.73,8.84,0,1.46,0,0,0,0,0,0,0,0
 48-58,0,0,1.59,0,0,2.53,0,1.71,0,0,1.6,0,0,0,0,3.49,0,0,8.78,0,0,0,1,0,5.39,0.64,0,0,0.83
 60-70,0,0,0,0,0,0,0.67,0,0,0,0.82,0,0,0,0,6.75,0,0,3.54,0,0,0,0,0,1.91,0.65,0.59,0,0
 72-82,0,0,0,0,0,0,0,0,1.13,1.41,0,0,0,0,8,10.68,0,0.97,8.21,0,0.76,0,0,0,3.2,0,3.12,0,0
 84-94,0,0,0.55,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0.65,0,1.39,0,0,0,0,0,0
 96-106,0,0,0.74,0,0.71,0,0,1.86,0,0,0,0,0,1.03,0,5.73,0.93,3.16,3.07,0,0,0,1.62,0,0,0,0,0,0
108-118,0,0,1.26,1.94,0,0.45,0,0,0,0,1.86,1.25,1.68,0,0,9.73,0,0,10.57,0.55,0.71,0,0.94,0,0,1.46,0,0.69,0
120,0,0,0,0,0,0,0,3.86,1.26,0,0,0,0,0,0,12.79,0,0,2.83,0,0,0,0,0,0,0,0,0,0
