stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,454.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,0,0,0,0,0,0,0,0,0,0
  5-6,22.92,298.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.48,0,4.48,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,52.04,0,0,0,14.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.85,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.53,4.88,0,0,0,0,0,1.19,1.02,4.16,0,0,0,0,5.01,0,3.84,0,0,1.03,12.42,0,0,4.45,0,0,0,0,0,0.87,1.98,11.75,0,0,2.17,0,0
 24-34,0,0,0,0,12.02,0,3.83,0,0,0,0,0,0,2.2,0.71,1.75,0,0,4.78,1.11,9.67,0,0,6.71,57.96,0,2.44,0,0,0,11.82,0,0,0,0.71,19.78,0,0,2.54,0,1.62
 36-46,0,0,0,0,5.82,0,6.01,0,1.72,1.68,4.35,2.26,0,2.54,5.3,0.56,0,0,0,14.36,15.74,0,0,6.27,156.48,1.19,4.27,0.82,0,0,31.89,0,0,0,0,38.27,0,0,8.28,0,7.15
 48-58,1.15,0,0,0.43,6.01,0,108.45,0.38,1.2,2.53,12.59,0,0,0.51,13.3,0,0,0.95,3.72,4.06,16.44,0,0,5.34,194.48,9.54,1.28,0,0,0,13.81,0,0,0.4,0,31.44,0,0.37,0.52,0,7.43
 60-70,0,0,2.36,0,4.38,0,225.59,0,3.18,0.81,10.39,1.29,0,0,19.25,0,1.29,0,0,35.93,29.83,0,2.66,1.44,245.88,2.65,0,0.69,0,0,32.13,0,1.36,0,0,15.44,0,0,0.85,0.59,14.7
 72-82,0,0,0,0,3.72,0,224.49,0.55,0.5,0.67,6.45,0,0,0,8.33,0,0,0,0,1.1,29.49,2.26,2.58,0.57,226.57,0,0,0,0,0,9.83,0,2.65,0,0,17.18,0.56,2.01,1.02,1.52,10.38
 84-94,0,0,0,0,11.55,0,202.18,3.18,6.45,0,21.92,0.67,1.3,0,15.42,1.51,0.76,0,4,13.35,25.84,0,8.49,0,159.59,0.62,0.89,3.65,0,1.68,41.69,0,2.92,0,0,9.16,0,3.44,4.11,1.23,16.77
 96-106,0,0,0,0,10.46,0,118.78,0.74,1.53,6.3,13.46,7.54,0,0,15.55,0,2.4,1.48,0,5.27,25.46,0,2.79,1.65,98.72,0,5.98,0.6,0,0,30.88,0,1.3,0,0,5.47,1.97,3.41,0.88,2.4,18.42
108-118,0,0,0,0,15.07,0,115.21,0.69,1.9,1.36,20.27,4.05,0,0,10.85,0.58,3.53,0.41,0,5.34,31.13,0,6.72,2.27,130.38,2.14,1.8,4.27,0,5.54,21.97,0,6.64,0.69,0,6.92,0,0.6,3.48,0.44,13.32
120,0,0,0,0,17.03,0,92.39,1.51,4.16,10.35,14.03,4.3,0,0,26.1,0,1.17,10.42,3.28,11.42,24.45,0,12.65,1.24,173.97,2.8,0,0,0,0,12.49,0,1.02,0,0,18.2,2.39,0,15.31,9.56,0
