stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,mural.cell,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.85,0.9,0,0,0,0,0,0,0,0,1.19,1.19,1.33,3.94,0,0,0,0,0
 24-34,0,2.4,0,0,0,0,0,0,0,0,0,5.36,0,0,0,2.42,0,0,0,0
 36-46,0,0,0,3.27,0,0,0,0,0,0,0,8.96,0,0,0.74,3.55,0,0,0,0
 48-58,0,1.24,0,0,0,0,0,0,1.94,0,1.85,9.83,0,0,0,14.03,0,2.18,0,0
 60-70,0,6.08,0,0.92,0,0,0,0.71,7.23,0,0,4.52,0,0,0,5.96,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.49,1.23,0,13.05,0,0,0,4.92,1.57,0,0,0
 84-94,0,2.43,0,2.02,0,0,1.22,0.71,0.65,0,0,18.77,0,0,0,3.34,0,0,0.68,0
 96-106,0,0,0,6.09,0.69,0.9,0,0,0,0,1.2,4.98,0,0,0,0,0,0,0,0.8
108-118,0,0.58,2.59,1.55,0,2.54,0,0,0,0,1.77,4.23,0,0,0,0,0.53,0,0,0
120,0,3.06,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0
