stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,100.51,1859.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.52,0,0,0,0,0,0,0,0,0
  5-6,77.28,408.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0,19.72,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.04,3.67,0,0,17.16,0,0,6.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.79,0,0,0,14.34,0,0,9.77,0,3.68,0,0,0,0,0,0
 14-21,0,0,0,0,9.15,0.95,0,6.2,0,0,0.89,0,0.85,0,0,0,0.93,0,0,0,0,0,3.3,24.8,0,0,0,0,0,0,4.18,4.18,0.84,10.82,0,0,0,0,0
 24-34,0,0,0,0.77,6.93,1.39,0,3.94,0,0,0,1.69,0,0,0,0,0,0,0,9.53,0,0,1.61,44.47,0,5.09,0,0,0,0,0,0,0,1.63,0,0,5.09,0,0
 36-46,0,0,0,0,4.18,0,0,0.91,2.52,0,1.7,0,0,0,0,0,1.71,0,0,10.82,0,0,2.18,17.63,0.64,1.78,0,0,0,4.64,0,0,0,6.15,0,0,1.98,0,4.09
 48-58,0,0,0,0.43,5.46,0,0,1.29,0,1.3,0,0,0,1.23,2.16,0,0.39,0,0,8.97,0,0,1.03,17.52,0,1.06,0,0,0,5.56,0,0,0,5.33,0,0,1.29,0,0
 60-70,0,0,0,0,0.69,0,0,1.2,0,0.76,4.42,0.61,0,0,0,0,0,0,0,17.02,1.1,2.47,8.05,25.77,5.53,2.74,0.94,0,0,1.96,0,0,0,0,0,0,0,0,0.99
 72-82,0,0,0.69,0.75,1.77,0,0,8.09,0,1.15,4.56,1.87,0,2.59,5.1,0,3.12,0,0,26.22,1.51,1.49,4.1,23.52,0,2.83,2,0,1.53,16.03,0,0,0,2.05,0,0.56,8.96,1.42,7.11
 84-94,0,0,1.23,0,8.19,0,0,7.77,3.65,1.88,2.13,0.66,0,0,4.86,0.56,4.65,0,0.95,29.65,0,0,9.13,10.7,0,8.14,0.61,0,0,15.4,0,0,0,7.06,0,0,18.52,1.59,7.84
 96-106,0,0,0,0,11.2,0,0,13.2,1.32,1.24,1.54,3.47,0,0.95,13.24,0,0.97,0,0,41.99,5.77,2.93,0,32.09,0,7.54,0.83,0,5.75,22.13,0,0,0,8.03,0,0,13.42,1.57,2.32
108-118,0,0,0.41,0.49,12.66,0.42,0.82,5.59,1.2,0.48,0,1.15,0,2.95,8.04,1.31,3.01,2.5,0,34.53,0,5.25,0.59,22.51,0.97,3.4,0.68,0,0,23.07,0,0,0,1.88,3.18,1.35,6.81,1.61,11.43
120,0,0,0,0,17.91,0,0,5.63,0,0,0,8.97,0,0,12.9,4.18,5.4,0,0,31.68,1.05,0,0,5.12,9.85,0,0,0,2.67,21.87,0,0,0,0,1.94,2.15,11.09,8.46,5.22
