stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,60.3,963.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.76,0,0,0,0,0,0
  5-6,24.3,395.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,11.86,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,14.69,0,0,10.08,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,3.24,0,0,0,3.81,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.29,0,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,10.51,4.86,1.29,0,0,2.18,0,0,0.85,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0.72,0,0.63,0,0,23.51,2.23,0.64,0,0,5.49,0,0,2.12,0,0,0
 48-58,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0.92,0,1.29,29.21,0.56,0.8,0,0,1.62,0,0,0.48,0,0,0
 60-70,0,0,0,0,4.36,0,1.15,0,0,1.29,0,1.64,0.71,0,0,2.58,0,0,24.69,4.96,2.56,0,0,4.6,0,0,3.39,0,0,0
 72-82,0,0,0.87,0,0.71,1.96,6.68,0,0.66,2.04,0,2.46,0,0,0,2.89,1.08,0,11.39,6.13,4.14,0,0,8.42,0,0,4.53,0,0,0
 84-94,0,0,4.5,0,3.73,0,4.44,3.78,0,3.68,0,1.99,0,1.43,0,6.24,0,0,13.86,0,6.14,0,0,9.63,0,0,1.54,2.47,0.57,0
 96-106,0,0,0,0,2.15,11.29,7.74,0,0,4.91,0.88,9.4,0,0.57,0.62,7.02,0,0,17.75,8.16,7.72,0,2.27,8.7,0,0,3.37,0,1.27,2.3
108-118,0,0,0,0,6.51,0,13.67,0,1.38,0.88,0,17.85,0,1.96,0,0.95,0,0,17.3,4.05,6.18,0,0,17.63,0,0,0,0,1.37,0
120,0,0,0,0,6.88,0,4.42,0,0,6.87,0,6.88,0,0,0,2.13,0,0,42.42,1.61,13.62,0,0,2.27,0,0,3.29,0,0,0
