stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,periderm,slow.muscle
  3-4,0,188.98,0,0,0,0,0,0,0,0,0
  5-6,8.23,114.08,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.54,0,0,21.17,0,0
 14-21,0,0,0,0,0,0,0,2.54,0,0,0
 24-34,0,0,0,5.74,0,0,0,0,0,0,3.33
 36-46,0,0,0,0,0,0,1.86,0,0.99,5.49,14.26
 48-58,0,0,0,0,0,0,0,0,0,0,10.68
 60-70,0,0,0,0,0,0,0,0,0,0,3.89
 72-82,0,0,0,0,0.79,0,0,0,0.96,0,0
 84-94,0,0,0,0,0,0,1.16,0,0,1.6,0.66
 96-106,0,0,0,0,0,0,0,0,0,0,1.38
108-118,0,0,0.43,0,0.6,0,0.78,0,0,0,0.48
