stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,208.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.4,110.83,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.97,10.92,0,17.75,0,0,108.05,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,468.68,60.22,0,0,141.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.92,0,0,16.64,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,178.63,0,0,0,68.69,0,0,0,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,0,12.99,3.14,4.55,0,0,0,1.29,1.08,0,4.35,0,0,0,0,0,0,6.71,0,0,5.56,48.83,1.71,0,2.94,1.92,0,12.68,0,2.88,13.39,19.74,0,0,0,0,0
 24-34,0,0,0.9,0.59,7.45,1.27,14.25,0,0,1.54,2.85,0,0,0.67,0,0.72,0,0.78,0,0,22.69,0,0,5.08,172.24,0.64,4.89,3.28,0,9.31,0,4.14,0.61,0.9,36.59,0,0,1.13,0,0
 36-46,0,0,0,0,11.96,0,32.52,0,0,0.77,6.65,0,0,0,0,0,3.33,1.26,0,0,20.92,0,1.94,3.36,125.9,0,1.27,0,0,42.28,0,0.59,0,0,27.73,0,0,7.88,0,0
 48-58,0,0,0,0,10.1,0.85,50.55,0,2.24,0.86,13.39,0,0,0,0,0,0.39,1.03,0,0,31.13,0,0,11.13,203.93,1.36,0.83,0.54,0,2.74,0,0,0,0,50.58,0,0,6.01,0,2.94
 60-70,0,0,0.91,0,7.02,0,91.76,0,0,1.38,36.38,1.43,2.2,0,0.57,10.22,0,0,1.41,0,51.85,0,0,4.16,231.03,6.84,0,3.39,0,0.66,0,1.17,1.38,0,26.8,0,1.19,10.57,0,0
 72-82,0,0,0.54,0,11.91,0.58,77.92,2.34,1.99,3.6,36.99,1.15,0,0.75,1,0,4.94,0,0,0,103.27,0,5.42,4.25,178.28,0.53,12.2,2.73,0,5.01,0,2.84,1.5,0,34.45,0,0.61,25.29,0,2.74
 84-94,0,0,0.66,0,20.34,4.07,66.81,6.71,8.01,0,20.76,2.58,0,0,1.03,0.83,0,7.99,1.19,10.78,49.05,0,1.01,6.58,121.41,0.7,2.27,11.8,0,5.05,0,2.49,0,0,42.73,1.5,2.74,19.77,3.29,2.03
 96-106,0,0,0,0,14.54,3.71,22.99,0,1.8,1.31,20.32,0,0,2.51,3.34,0,1.8,0,0,0,32.64,0,1.34,2.49,61.55,0,7.92,7.26,0,3.45,0,0,0,0,15.11,0,0.9,2.58,0,0
108-118,0,0,0,0,5.24,6.05,30.85,0,0.61,0,9.29,3.12,0,1.03,0,0,0,1.38,0,0,68.55,4.01,0,4.49,92.51,0.69,3.61,2.88,0,0,0,0.84,0,0,4.07,0.69,0,6.42,2.03,1.44
120,0,0,0,0,18.65,0,17.73,0,0,0,14.42,0,0,0,0,0,7.23,0,0,0,29.19,0,0,0,126.11,0,0,0,0,0,0,0,0,0,15.21,0,0,14.48,0,0
