stage,endocrine_pancreas,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,neural,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0,0,0,5.58,0,0,2.05
 24-34,0,0.89,0,0,0,0,0,49.36,2.32,0,19.16
 36-46,0,0.89,0,0.63,0,0,0,113.91,2,0,17.03
 48-58,0,3.9,0,2.54,0.38,0,0,134.34,0,0,32.82
 60-70,1.49,11.47,0,10.88,0,0,0,197.06,0,0.83,22.93
 72-82,0,22.36,0,6.71,0,0,0.53,213.66,0,0,4.71
 84-94,1.67,14.36,0.6,7.2,0,9.96,0,137.54,0,0,20.49
 96-106,2.14,9.83,0,9.63,2.08,0,4.84,114.4,0,0,5.05
108-118,0,14.07,0,4.3,0,0,0,160.31,2.08,0.48,2.03
120,0,23.91,0,2.35,7.81,0,0,158.01,0,0,15.87
