stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,429.49,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0
  5-6,0,132.68,0,0,0,0,0,0,0,0,0,26.52,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,0,0,0,0,75.37,0,18.24,3.78,0,0,0,0
 10-12,0,0,0,0,0,8.88,0,0,0,0,0,0,0,16.18,0,0,0,0,0
 14-21,0,0,0.9,0,0.91,0,0,0,0,1.16,0,0.88,0,0,3.47,1.28,0.91,0,0
 24-34,0,0,0,0,0,108.74,0,0,1.1,0.98,0,1.72,0,0,0.62,0,0,0,0.8
 36-46,0,0,0,0,0,168.88,0,0,0,2.31,0,6.49,0,0,1.05,0,0,2.56,1.83
 48-58,0,0,0,0,0,65.5,0,0,0,0,0.46,2.32,0,0,0,0,0,0,0.51
 60-70,0,0,0,2.48,0,100.44,0,0,0,0,0,3.4,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,32.04,0,0.99,0,0,0,0,0,0,0,0,0,0,1.14
 84-94,0,0,0,0,0,64.08,0,0,0,0,0,11.23,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,35.97,1.38,0,0,0,0,8.74,2.06,0,0,0,0,0,0
108-118,0,0,0.74,0,0,59.22,1.38,0.89,0,1.46,0,2.77,0,0,0,0,0,0,0
120,0,0,0,0,0,35.93,0,0,0,0,0,2.85,0,0,0,0,0,0,0
