stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,36.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.03,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07,0,0,0,3.97,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.32,0,0,0,19.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,4.49,0,0,10.76,0,0,0,3.35,0,0,0,0,0,0,0,3.41,0,0,0,51.09,0,0,0,0,0,0,0.89,7.03,0,0,0,0,0
 24-34,0,0,0,0.67,3.77,0,0,52.62,0,0,0,1.53,0,0,0,0,0,0,0,2.58,0,0,6.6,93.44,3.98,0,0,0,1.08,4.5,0,14.89,0,0,3.89,0,0
 36-46,0,0,0,0,0,0,0,42.51,0,2.4,0,6.09,0,0.93,0,0,0,0,0,4.87,0,0,2,120.37,11.79,1.11,1.49,0,0,1.34,0,21.24,0,0,0,0,0
 48-58,0,0,0,0,0.52,0,0,172.74,1,0,0,9.55,0,0,0,0,4.55,0,0.92,4.82,0,0,1.06,94.73,5.72,0,0,0,0,1.21,0,9.99,0,0,0.7,0,0
 60-70,0,0,0,0,2.09,0,0,1480.28,0,0,0.59,5.7,0,0,0,0,0,0,0,22.22,0,0,0.7,154.16,5.17,0,0,0,2.98,0,0,17.39,0,0,2.13,0,0
 72-82,0,0,0,0,10.86,0,0,2603.86,0,1.65,5.77,44.41,0,0.66,0,0,4.27,1.77,0,22.07,0,0,0.73,205.54,0,4.56,1.92,0,4.28,0.52,0,12.75,0,0.97,0.61,0,0
 84-94,0,0,0,0,6.62,1.03,0,1558.35,9.43,1.41,1.74,43.11,0.98,0,0,1.07,1.51,1.91,1.93,18.77,0.98,0.92,0.96,169.04,1.58,0,1.35,0,3.19,3.59,0,5.99,0,0,1.22,0.57,0
 96-106,0,0,0,0,5.98,2.02,1.14,1912.25,1.74,1.92,0,37.01,0,0,2.47,0,10.91,2.03,0.6,25.74,0,0.73,0.71,148.07,0,0,5.41,0,0.61,1,0,15.68,4.97,0,0,1.44,0
108-118,0,0,0,0,7.43,0,0,1387.78,0.77,3.16,0,43.21,0,0,0.63,0,20.68,1.17,2.8,18.81,0,4.04,9.68,233.53,3.02,0.42,8.66,0,3.28,1.11,0,5.82,0,0,1.55,0,0
120,0,0,0,0,5.95,0,0,876.65,2.68,2.37,0,49.97,0,0,2.22,0,7.25,2.98,0,10.13,0,0,4.71,215.62,11.41,0,8.42,0,0,0,0,0,0,0,0,0,1.64
