stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,61.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0
  5-6,20.6,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,6.93,0,0,0,29.23,0,0,0,0,0,0,0,0,0,0,0,14.34,4.5,0,3.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,13.71,0,0,0,0,0,0,0,0,0,0,0,57.31,0,0,7.66,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.57,0.86,0,0.88,0,0,0,0,0,0,0,0,2.2,0,1.54,11.09,0,1.22,0,3.87,1.95,1.73,0.94,3.9,0,0,0,0
 24-34,0,0,0,0,1.98,0,0,0.63,0,0,0,0,0,0,0,0,1.27,0,3.12,29.6,0,8.08,0,0,0,47.84,0.6,1.46,0,0,0,0
 36-46,0,0,0,0,1.51,0,0,1.53,1.31,0,0.87,0.59,0,0,0.76,0,0.56,0,0,17.17,0,5.17,0,0,0,27.87,0,3.39,0,0,0,0
 48-58,0,0,0,0,3.38,0,0,11.19,0,0,1.29,0,0,0,2.87,0,0.49,0,0,10.83,0,10.34,0,0,0,23.01,0,0.84,0,0,0,0
 60-70,0,0,0.86,0,0,0,0,10.46,0,0,0.63,10.61,0.58,0,1.16,0,2.38,0,0,22.95,0,12.32,0,0,0,39.44,0,1.1,0,0,0,0
 72-82,0,0,0,0,0,0,0,9.37,0.76,0.8,4.09,29.03,0,0,2.58,0,10.85,1.42,0,20.69,0,21.09,0,0,0,51.7,0,0,0,0.87,2.4,0
 84-94,0,0,0,0,1.78,0,0,6.05,0,7.93,6.46,52.79,0,0,3.12,0,0.56,0,0,5.41,0,25.17,0,0,0,101.25,0,0,0,0,10.68,0
 96-106,0,0,5.3,0,0.76,0,0,13.64,0,0,2.98,104.05,1.6,0,10.72,0,6.8,0,3.92,51.31,0,30.07,0,0,0,81.36,0,7.87,0,1.21,1.41,0
108-118,0,0,2.36,0,5.59,1.91,0.6,23.15,4.23,0,0.94,96.31,1.73,0.43,2.41,0,16.09,0,0,32.63,0.67,37.56,0,3.4,0,88.19,0,0,1.08,0,0.51,2.41
120,0,0,4.32,0,2.54,0,0,12.59,0,0,10.8,146.71,5.42,0,11.99,8.91,0,0,0,60.74,0,31.11,0,2.16,0,39.91,0,0,0,0,2.2,0
