stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,4.06,0,0,0,0,0,0,0
 10-12,0,0,3.4,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.49,1.66,3.31,0,0,0,1.34,0.81,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,19.91,10.64,9.63,0,0,0,5.66,5.56,0,0,1.5,0
 36-46,0,0,0,5.1,0,0.94,0,0,0,0,0,56.45,12.82,10.38,0,0,0,0.83,0,1.13,0,0.87,0
 48-58,0,0,4.76,0.93,0,3.56,0,0,0,1.02,0,73.5,9.46,26.12,0,0,0,4.42,0,2.54,0,1.81,0
 60-70,0,0,0.63,6.76,0,2.08,0,0,0,0,0,75.18,7.02,14.33,0,0,0,3.46,0,0,1.27,0,0
 72-82,0,1.33,4.04,1.12,2.07,5.51,5.77,1.81,0,0,0,92.67,10.42,5.39,0,0,1.61,0,0,0,0,1.24,0
 84-94,1.69,0,5.33,11.38,0,3.57,2.69,0,0,0,0,90.58,9.5,14.55,0,0,1.53,0,0,4.13,0,0,2.34
 96-106,0,0,0.75,3.85,0,0,0,0,1.34,0,0.98,68.37,1.54,15.03,0,0,5.82,0,0,0,1.88,3.64,0
108-118,0,0,6.44,1.48,0,2.2,0,0,0,0,0,107.56,9.95,0,0.9,0,3.2,0.52,0,0,0,0,1.02
120,0,0,0,2.64,0,1.85,3.18,0,0,0,0,147.62,15.29,3.91,0,10.96,0,0,0,0,0,2.71,0
