stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,iridophores,lateral.line,melanocytes,mesenchyme,neural,otic,paraxial.mesoderm,pericytes,pronephros,spinal.cord,xanthophores
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.16,0,6.01,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,57.88,0,0,0,12.99,0,0
 14-21,0,0,1.39,0,0.89,0,0,0,0,0,0,0,0,0,4.14,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0
 36-46,0,0,0,0.82,0,0,0,0,0,9.73,0,0,0,0,0,0
 48-58,0,0,0,3.73,0,0,0,0,0,21.12,0,0,0,0,6.01,0
 60-70,0,0.7,0,4.99,1.65,0,0,0.72,0,3.81,0,0,0,0,0.61,0
 72-82,0,0,0,0,2.19,0,0,0,0,20.88,0.55,0,0,0,0,0
 84-94,0,0,0.9,1.76,0.84,0,0,0,0,5.32,0,0,0,0,0,0.8
 96-106,0,0,0.84,0,0.82,1.9,0,0,0.94,5.87,0,0,6.23,0,0,0
108-118,0,0,0,6.13,0,0,0.52,0,0,8.25,0,0,0,0,0,0
120,0,0,0,3.49,8.81,0,0,0,4.96,22.8,0,0,0,0,0,0
