stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.63,0.82,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.55,2.29,0,0,0,0,0,0,1,0,0,0,0,6.81,0,2.97,4.3,0,0,0,0,2.77,0,2.61,0,0
 36-46,0,0,2.77,0,0,0,0,0,0,0,1.19,12.4,0,0,0,15.31,3.59,8.06,3.68,0,2.1,0,0,2.03,1.04,0,0,0
 48-58,0,0,1.63,0,1.47,0,0.89,3.05,0,0.56,3.25,15.74,0,4.35,0,32.58,4.93,5.9,35.16,0,1.09,0,0,1.63,0,0,0,0
 60-70,0,0,0,0,1.41,0,0.61,6.35,0,4.57,1.12,28.8,0,0,0,66.44,19.24,9.36,4.1,0,7.52,0,0,0,1.72,1.41,2.38,0
 72-82,0,0.79,7.33,0,6.34,0.65,1.59,35.03,0.54,1.13,6.41,35.71,0.84,2.72,0,135.31,34.13,17.35,21.97,3.67,4.98,0,0,1.36,2.65,0.6,13.86,5.59
 84-94,5.55,3.52,5.91,0,7.14,0,0,13.87,0,2.44,4.67,45.28,0,17.17,0,93.89,30.84,0.76,15.2,0,3.04,0,0.74,0,5.54,1.18,17.87,0
 96-106,0,0,0.7,2.45,8.93,0.89,0,4.5,0,1.55,5.45,30.75,0,2.8,0.63,102.73,18.48,9.76,28.94,0,26.91,5.51,0,0,2.14,1.25,20.78,0
108-118,0,0,6.65,5.96,9.16,1.32,1.29,9.62,0.64,4.79,5.74,35.3,0,20.6,0.43,218.54,43.87,13.83,56.41,1.46,37.91,0,3.21,1.02,12.56,4.72,32.97,0
120,0,0,3.12,0,17.14,0,0,13.78,28.15,0,17.38,53.89,0,6.77,0,255.34,34.46,17.21,57.1,0,6.17,0,0,0,18.43,0,29.69,2.34
