stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.33,0,5.4,0,0,0,0,0.87,0,15.05,2.18,4.37,8.4,1.12,0,0,0,0,1.91,1.9,0,0,0,10.94
 24-34,0,0.61,0,0,4.52,0,0,0,0,5.31,0,14.56,5.64,10.45,9.92,0,0,0,0,0,0,1.74,0,0.84,0,33.55
 36-46,0,0,0,0,0,0,0,2,0,16.17,0,8.71,19.09,10.67,54.72,0,0,0.83,0.59,0,0,2.87,0,0,0,26.26
 48-58,0,0.39,0,0,7.48,0,0,0,0,18.38,0,22.54,14.53,5.46,129.26,0,0.69,0,0,0,0,7.85,0,0.53,0,73.03
 60-70,0,0,0,0,7.81,0,1.48,1.04,0,16.2,0,7.2,15.02,0.77,146.64,0,0,0,0,0,0,25.89,0,1.31,0,37
 72-82,0,1,0,0,11.28,0,0,0.57,0,21.48,0.72,13.35,18,3.13,114.08,1.43,0,0,0,0,0,4.71,0,0.68,0.57,57.56
 84-94,0,0,0.76,0,8.55,0,0,0,0,17.39,0,13.11,14.1,4.87,64.45,0,0,0,0,0,0,0,2.61,0,0,51.92
 96-106,0,1.88,0,0,10.83,0,0,0,0.66,17.2,0,11.32,1.16,5.21,97.86,0,0,0,0,0,0,6.41,0,1.52,0,46.49
108-118,0,1.47,0,0.47,4.36,0,0,0,0,36.9,0,35.58,7.1,2.74,80.18,0,0,4.4,0,0.53,0,1.82,0,0,0,69.68
120,0,3.06,0,0,7.7,18.62,0,21.82,0,53.19,0,35.74,6.07,10.14,139.63,0,0,0,0,0,0,5.23,0,1.96,0,20.62
