stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,24.17,265.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,299.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.58,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0
  7-9,7.32,0,0,3.85,0,0,0,23.09,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,154.38,5.77,0,0,51.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.71,0,0,0,36.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.05,17.17,0.82,0,2.53,0,0,0,3.29,0,0,0,0,0,0,0,0,0,12.52,0,4.99,168.06,2.15,0.95,0,3.19,0,0,11.39,0,0,15.22,43.67,0,0,1.8,0
 24-34,0.88,0,0.65,2.64,2.68,0,0,30.93,0,0,0,0,0.67,0,0,0,4.51,0,0,0,0,9.19,0,2.6,204.48,0.83,0,0,0,0,7.78,0,0,0.87,3.41,31.95,0,0,9.18,0
 36-46,0,0,0,0,1.91,0,0,23.26,0,0,1.26,1.47,0,0,0,1.76,0,0,0,0,0,14.15,0,6.26,119.59,1.8,0.64,0,0,0,5.85,0,0,0,0,30.82,0,0,0,0
 48-58,0,0,0,0,0,0,0,46.33,1.5,0,5.9,9.11,0,0,0,0,0,0,0.42,1.04,0,14.59,1.03,3.45,138.31,0.38,0,0,0,0,0.65,0,0.42,0,0,27.02,0,0,7.22,0
 60-70,0,0,0,0,1.32,0,0,45.51,0,0,0,8.26,0,0,0,0,0,0,0,0,0.59,7.68,0,2.75,52.25,0,0,0,0,0,4.6,0,0,0,0,8.49,0,0,1.09,0
 72-82,0,0,0,0,0.6,0,0,27.26,0,0,1.76,14.35,2.28,0,0,0.68,0,0,0.68,0,0.49,13.13,1.84,1.53,72.6,0,0.84,0,0,0,0,0,0,0,0,22.18,0,0,7.43,0
 84-94,0,0,1.05,0,1.26,0,0,22.98,0,0,1.92,2.54,0.62,0,1.16,0,0,0,0,0,0,21.57,0.57,4.07,21.32,0,1.39,0.79,0,0,4.24,0,0,0,0,4.86,0,0,1.55,0
 96-106,0,0,0,0,0.6,10.01,1.09,14.67,0,0,0,7.13,2.9,0,0,0,0,0,0,0,1.26,10.09,0,0.62,39.11,0,0,1.2,0,0,10.89,0,0,0,0,5.83,0,1.76,0,0.86
108-118,0,0,0,0,1.92,0,0,25.45,0,0.45,0,5.83,2.46,0,0,1.13,1.03,0.42,0,0,0,13.47,0,2.89,60.91,0,0,1.1,0,1,2.17,0,0,0,0,3.17,0.42,1.68,2.65,0
120,0,0,0,0,8.63,0,0,16.52,0,0,0,17.49,0,0,0,0,1.65,0,0,0,0,16.77,0,0,31.73,0,0,0,0,0,1.3,0,0,0,0,12.63,0,2.55,0,0
