stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,0,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,4.63,5.32,0,0,6.25,0,0,0,0,0,0,0,0,19.29,6.61,0,28.46,0,0,0,0,0,0,0
 10-12,0,4.29,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,18.99,0,8.56,5.3,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,2.11,0,0,1.1,1.37,0,0,0,0,0,0,0,0.95,0,0,0
 24-34,0,0,0,0.72,0,2.08,0,0,0,0,0,0,0.77,0,5.15,0,0,0,0.85,0,0.62,3.48,0,0,0
 36-46,0,0,0,11.13,0,0,0,0,0,1.33,0,0,1.42,0,7.45,0,0,0,0,0,0,12.29,0,0,0
 48-58,0,0,0,0,0,5.43,1.17,0,0,0,0,0.47,1.34,0,11.41,0,0,0,0,0,0,1.61,0,0.42,0.89
 60-70,0,0,0,0,0,4.5,0,0,0,0,0.72,0,0.99,0,3.55,0,0,0,0,0,0,7.27,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.35,3.93,0,12.35,0,2.92,0,0.59,0,0,3.49,0,0,0
 84-94,0,0,0,0.67,0.74,1.64,0,0,0,0,0,0,1.6,0,6.07,0,3.51,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.62,0,0,10.48,0,0,0,2.13,0,16.16,0,0,0,0.59,0,0,0,1.26,0,0
108-118,0,0,0,1.11,0,1.35,0,0.48,0,0.9,0.56,0.75,0.89,0,7.27,0,0,0,0,0,0,4.89,0,0,0
120,0,0,0,0,0,6.53,0,3.21,0,0,0,8.5,0,0,30.61,0,0,0,8.58,0,0,0,0,0,0
