stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,35.18,0,22.95,0,0,6.94,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.92,0,0,0,3.11,0,0,0,0,0,0,0,96.79,0,5.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.92,2.81,0,2.74,0,0,0,0,0,0,0,0.87,0,0,1.46,9.92,0,0,0,5.2,0,0.97,0,3.26,0.85,0,0,0
 24-34,0,0,0,0,0.63,0,0,0,0,0,0,0,3.01,0,0,0,28.7,0,0,0,1.17,0,0,0.7,0.78,4.73,0,0,0
 36-46,0,0,0,2.08,2.26,0,0.79,0,0,0,0,0,1.81,0,0,1.59,25.51,0.58,0,0,0,0,0,0,0,4.9,0,0,0
 48-58,0,0,0.85,0,5.14,0,1.09,0,0,0,0,0,0.48,0,0,0.97,15.64,0,0,0,0,0,0,0,0,1.91,0.61,0,1.07
 60-70,0,0,0,0,12.97,0,4.73,0,0,0,0,0,0,0,0,9.95,30.82,0,0,0,0,0,0,0,0,1.75,0,0,0
 72-82,0,0,0,0,14.95,0,1.78,0,0,0,0,0,1.59,1.11,0,0,21.73,0,0,2.78,0,0,0,0,0,3.42,1.02,3.77,0
 84-94,0,0,0.62,0,6.25,0,0,0,0,0,0,0,0,0,4.9,0.74,16.95,0,0,0,4.3,0,0,0,0,1.65,0,11.4,0
 96-106,0,0,2.78,0,1.95,0,1.19,0,0,0,0,0,6.11,0,0,0,2.72,0,0,1.98,3.75,0,0,0.68,0,0,1.49,15.63,0
108-118,0,0,0,8.06,1.33,0.74,2.76,1.93,0,0.57,0.97,4.07,1.32,0,0.56,0,14.12,0,0,0,5.18,0,0,0,0,0,2.36,11.41,0
120,0,0,0,0,46.21,0,0,0,0,5.25,0,0,5.38,0,0,0,10.84,0,0,2.76,0,0,0,0,0,3.5,0,27.92,0
