stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,vascular_smooth_muscle,vasculature
  3-4,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0.66,0,0,0,3.72,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,1.5,1.09,0,0,0,3.13
 48-58,0,0,0,0,0,0.89,0,0.41,0,0.82,0.9,2.06,0,0,0,0,11.33,0.4,0,0,0,0,0,15.1
 60-70,0,0,0,0,0,0,0,0,0.56,8.55,0.75,6.5,0,0,0,7.71,0.59,1.67,0,0,0,0,0,16.85
 72-82,0,0,0,0,0,1.36,0,0,5.64,18.39,2.18,0,0,0,0,11.38,7.56,6.49,0,10.74,0,0.87,0,16.72
 84-94,0,0,0,0,0,0,0,0,0,28.04,0,6.34,0,0,0,26.72,3.2,0,0.67,13.23,0,3.81,1.15,13.83
 96-106,0,1.89,0,8.35,0,15.13,14.86,1.62,10.37,52.82,3.69,3.85,0.56,0,0,37.05,0,5.24,0,49.3,2.8,9.37,0,11.94
108-118,0,0,5.95,2.06,0.76,16.96,0,0,5.73,117.91,0.8,1.93,0,0.87,0.7,102.63,1.07,11.17,0,39.63,0,25.39,0,14.62
120,0,0,0,3.09,0,9.39,0,0,0,92.26,0,20.65,0,0,1.84,37.76,9.24,3.7,0,23.78,4.26,11.28,0,30.65
