stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,62.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.33,0,3.8,0,0,0,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,49.48,0,0,0,19.35,0,0,0,0,0,0,0,0
 10-12,0,0,9.03,0,0,0,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,125.76,4.28,0,0,23.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.86,4.09,0,1.24,0,0,29.92,0,0,0,0,0,0,0,4.02,0,4.3,45.27,0,0,4.74,2.17,0,1.11,26.33,2.24,92.2,0,0,0
 24-34,0,0,0,0,0,0,8.2,0,0,25.06,0,0,0,0,0,0,0,6.48,0,2.73,82.79,0,19.41,0.88,0,0.61,0,3.62,0,77.36,0,3.07,0
 36-46,0,0,0,0,0,0,2.68,0,0,12.65,0,0,0,0,0,0,6.08,2.32,0,0.69,92.63,0,3.45,0,0,2.09,0,0,0,32.34,0,0.58,0
 48-58,0,0,0,0,0,0,7.47,0.74,0,33.16,0,0,0,0,0,0,6.22,4.11,0,0.63,142.77,0,7,1.22,0,0.42,0,0.73,0,69.42,0,0,2.99
 60-70,0,0,0,0,0.6,0,19.64,0,0,19.27,0,0,0.57,0,0,0.57,1.83,14.75,0,0,172.59,0,5.97,1.55,0,2.33,0,0,0,28.38,0,0.68,10.62
 72-82,0,0,0,0,0,0.76,19.08,0,0,19.62,3.66,0,0,0,1.38,0,0,7.63,0,0.71,125.58,0,16.63,4.25,0,8.74,0,0.57,0,8.53,0,0.59,0
 84-94,0,0,1.01,0,0,0,3.44,0,0,11.37,0,0,0,0,0,0.8,1.67,7.08,0.76,1.26,79.2,0,1.79,7.24,0,3.06,0,2.98,0,13.69,0,1.23,0
 96-106,0,0,0,0.77,14.12,0,13.63,0,0,12.86,1.19,0.92,0,0,0,0.94,0,2.44,0,0.7,60.96,0,0.59,6.75,0,0.83,0,0.6,0,2.81,2.72,1.24,0
108-118,0,0,1.06,0.89,0,0,2.2,0,0.89,7.11,0,0,1.38,0,0.5,0.51,0,8.28,0.75,1.95,94.91,0,12.68,4.88,0,0,0,0.99,0,9.84,0,0,0
120,0,0,0,4.83,1.62,0,5.68,0,0,6.88,0,0,3.75,1.63,0,0,0,15.4,15.08,0,158.62,0,37.67,0,0,1.38,0,1.87,0,0,0,0,0
