stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,132.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.46,0,0,0,0,0,0,0,0,0,0
  5-6,11.79,56.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,58.42,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.4,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.16,9.65,0,0.89,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,4.66,10.06,1.74,0,0.98,0,0,6.43,2.17,0,3.69,57.72,5.25,0,0,9.89,0,0
 24-34,0,0,0,7.13,0,0,2.84,0.9,0,0.74,6.64,0,0,3.12,0.73,0,0,0,0,0,2,0,0,2.31,19.05,2.72,0,8.04,0,0,30.7,0,2.92,2.99,39.56,12.58,0,0,42.64,0,0
 36-46,0,0,0.94,0,28.97,0,17.5,8.1,0,0.61,9.06,0,0,2.56,0,1.21,0,0,0,0,14.18,0,0,5.69,28.3,0.71,0,16.85,0,0,16.46,0,8.71,0,0.71,32.46,0,0,21.81,0,0.97
 48-58,0,0,0,10.65,0,0,141.32,6.59,0,0,44.28,0,0,0.44,0.89,0,0,0,1.49,0,20.91,0,1.64,1.67,67.24,0.51,0,10.81,0,0,31.71,0,0.46,1.43,0,37.29,0,0,27.38,0,3.47
 60-70,0,0,0.86,3.04,0,0,647.07,5.62,0.74,2.93,42.4,0,0,0,0,9.12,0,0,1.34,0,14.37,0,4.72,3.38,66.22,1.57,0,3.38,0,0,10.86,0,2.61,0,0,23.83,0,0,30.16,0,10.89
 72-82,0,0,1.68,13.36,0,0,971.72,10.72,1.14,2.14,53.92,3.29,0.59,1.32,0,0,0,2.29,2.52,0.5,27.26,0,2.3,3.04,172.14,6.21,0.93,19.73,0,0.84,6.64,0,0.76,0,0,46.26,1.1,0,51.13,1.83,6.95
 84-94,0,0,0,24.3,6.73,0,1027.8,2.23,0,0,40.15,7.87,0.76,0,0,0,0,2.2,0.57,0,20.37,0,5.54,1.27,118.62,0.68,0,20.81,0,1.39,34.09,0,1.27,0,0,17,3.55,0,39.38,2.52,8.16
 96-106,0,0,0.95,13.98,13.46,0,1239.34,1.43,0,0,57.48,8.51,0,0,0,0.88,2.53,3.97,0,0,35.35,0,4.22,5.47,213.24,4.76,2.33,17.38,0,0,52.78,0,0,0.6,0,25.74,1.54,5.19,49.38,1.74,6.47
108-118,0,0,5.68,46.09,1.73,0,1015.56,9.02,0.49,0,56.36,7.54,0,0,2.18,1.11,3.72,4.37,1.92,0,28.47,1.09,4.66,2.58,249.77,0,1.21,14.98,0,4.92,49.59,0,2.34,0,0,30.4,1.74,0,34.01,1.4,3.12
120,0,0,0,63.27,18.21,1.71,1339.8,3,3.69,0,69.47,12.45,5.2,5.85,6.91,1.63,0,1.77,0,0,34.87,0,0,9.18,442.95,0,0,30.95,0,0,30.66,0,1.56,1.21,0,40.88,4.08,0,26.46,0,0
