stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0.96,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0.88,0,9.1,0,2.06,3.01,0
 24-34,0,0,1.57,0,0.94,0,0,0,0,0,0,0.95,0.62,0,0,0,29.69,0,0,0,0,28.32,0,6.39,1.52,0
 36-46,0,0.87,7.63,1.04,1.25,0.72,0,0,0,0,0,0,0,0.86,0,0,41.61,1.02,0,0,0,43.93,0,19.48,0,0
 48-58,0,2.8,6.57,0,9.39,0,0,0,0,0,0,0,0,1.86,0,0,41.28,0.64,0,0,0,32.4,0,8.38,2.17,0
 60-70,0,5.43,16.04,1.1,2.49,0,0,0,1.4,0,0,0,0,0.67,0,0.77,63.59,0,0,0,0,30.06,4.97,2.14,0,0.73
 72-82,0,0,22.47,2.5,3.08,0,0,0.51,0,0,0,0,0,7.29,0,0.96,65.27,0,0,0,0,11.59,0,1.87,0,0
 84-94,0,14,17.88,0,0,0,0.6,0,0,0.86,0,0.57,0,0,0,0,7.67,0,0,0,0,24.68,0,0,0,0
 96-106,0,4.9,1.4,0,1.92,0,0,0,0.73,0,0,0,0,3,0,0,23.64,0.61,1.51,0,0,20.91,0,0,1.97,0
108-118,0,3.79,5.72,1.16,0.93,0,0,0,0.6,0,0,0,0,2.16,1,0,18.3,0,0,0,3.15,15,0,0,0.65,1.11
120,0,4.32,14.25,0,0,1.88,0,0,0,0,3.58,0,0,0,0,0,54.17,0,0,0,0,18.58,0,0,0,0
