stage,epidermis,gut,ionocyte,neural,periderm
 48-58,0,0,0,0.86,0
 60-70,0,0,0,0,3.33
 72-82,0,0,0.64,1.44,0
 84-94,0,0,0,0,0.84
 96-106,0,0,0,0,3.99
108-118,0.52,0.46,0,0,0
