stage,endocrine.pancreas,erythrocytes,eye,immune,iridophores,melanocytes,mesenchyme,neural,paraxial.mesoderm,periderm,vasculature
 10-12,0,0,0,0,0,0,0,0,6.9,0,0
 14-21,0,3.75,0,0,0,0,0,4.41,0,0,0
 24-34,0,1.33,0.91,4.08,0,0,0.97,6.72,0,0,0
 36-46,0,0,0.65,0,0,0,0,1.86,0,0,0
 48-58,0,0,0,3.13,0,0,1.02,3.84,0,0,0
 60-70,0,0,0,9.63,0,0,0,3.18,0,0,0
 72-82,0,0,2.08,3.33,0,0,1.11,0,0,0,0
 84-94,0,0,0,12.41,0,0,1.51,8.45,0,0,0.62
 96-106,0.74,0,0,11.38,0,0,0,3.95,0,0,0
108-118,0,0,0,7.58,1.19,0.58,0,0,0,0.86,0
120,0,0,0,19.64,0,0,10.3,11.82,0,0,0
