stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.96,6.14,1.04,4.62,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,3.01,45.41,0,0,0.95,0.81,2.63,5.75,0,0.84,3,19.39,0,0,0,0
 24-34,0,0,9.14,0.61,10.99,0,0,0,1.8,1.16,0.82,0,5.77,0,0,0,0.69,16.58,0,1.66,2.81,180.01,1.3,2.62,0.68,0,1.83,0,0.97,0,3.01,34.52,0,4.22,0,0
 36-46,0,0,0,0,13.35,0,0,0.96,12.83,2.26,0,0,0,0,0,0,0,8.62,0,0,0.72,64.41,0,0.6,0,0,16.93,0,0,0,0,6.67,0,0,0,1.44
 48-58,0,0,3.73,0,77.85,0.67,2.39,2.04,9.06,0,0,0,0,2.3,0,2.41,0,29.07,5.19,0,5.31,160.8,4.39,2.09,0.64,0,3.35,0,0.74,0,0,33.11,0,2.43,0,4.15
 60-70,0,0,0,0,29.56,0,0,0,7.58,1.58,0,7.78,0,0,0,0,0,9.68,0,0,1.34,78.57,0,0,0.87,0,0,0,0,0,0,6.37,0,0,0,0
 72-82,0,0,7.47,0,53.26,0,0,0,5.28,0,0,0.68,1.02,0,1.39,0,0,17.47,0,0.67,1.35,56.22,0.66,1.09,0,0,1.17,0,0,0,0,9.34,0,6.13,0,0
 84-94,0,0,2.1,0.77,23.33,0,0,0,5.9,0,0,0,2.89,0,0.81,0,0,5.63,0,0,0.59,31.81,0,0.77,0.9,0,1.91,0,0,0,0,2.52,0.55,0,0,0
 96-106,0,0,2.08,0,53.54,0,0,0,7.97,0,0.68,2.24,0,0,0,0,0.98,20.11,0,3.91,2.06,53.24,1.23,0.57,0.73,0,8.82,0,0,0,0,0,0,0.56,3.27,0
108-118,0,0,2.61,0,22.25,0,0,0,8.29,0,0,3.49,1.23,0,0,0,0.61,9.72,0,0,1.62,34,0,1.4,0,0,4.8,0,0,0,0,0,0,0.97,1.76,0
120,2.52,0,2.93,2.21,17.35,0,0,0,8.85,0,0,3.45,1.77,0,0,0,0,10.33,0,0,3.92,74.45,1.38,0,0,0,1.54,0,0,0,0,5.78,0,1.14,0,0
