stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,0,0,0,8.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.8,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.77,26.8,0,2.02,0,0,0,0,0,2.45,20.11,0,0,0,0
 24-34,0,1.05,0,0,1.51,0,0.68,0,0,0,0,0,0,8.59,0,0,8.37,229.94,0,2.32,2.21,0,1.48,1.04,0.61,1.29,46.97,0,1.48,0,0
 36-46,0,0,0,0,4.85,0,0,6.2,0,0,0,0,0,1.57,0,0,1.59,676.01,0,34.41,5.61,0,1.74,1.33,0,0,75.67,0,0.6,0,0
 48-58,0,0,3.67,0,57.57,2.7,1.07,12.57,0,0,0,0,0,0.4,0,0,7,901.13,2.89,6.09,3.63,0,7.45,0,0,0,126.11,0,0,0,0
 60-70,0,10.41,7.27,0,116.85,1.4,0,9.46,0,0.92,0,0,0,0,0,0,6.16,1401.73,0,3.19,7.15,0,0,0,0,0,144.34,0,3.81,0.71,0
 72-82,0,0.68,11.56,0,95.03,0,0,28.3,0,0,0,0.82,0,5.73,0,0,0.85,1219.92,3.31,7.81,7.26,0,0,0,0,0,81.05,0.53,10.29,0,2
 84-94,0,0.56,8.83,0,130.7,0,0.62,14.65,0,0,0,0.8,0,2.08,0,0,0,705.64,0,10.96,15.64,0,2.4,0,0,0,49.7,0.61,0,0,0
 96-106,0,1.08,4.18,0,73.67,0,3.14,5.73,0,0,1.01,0.97,10.33,13.49,3.31,0,0,610.21,0,13.35,24.24,0,0,0,0,0,26.31,0,0,0,0
108-118,0,4.12,0.68,2.1,62.7,0,0,14.04,0.45,0,0,1.24,0,9.16,0,0.5,0,489.61,0,11,10.69,0,2.19,0.55,0.57,0,28.46,0.67,0,0,0
120,0,3.01,5.97,0,137.97,0,0,7.09,0,0,0,4.14,0,5.35,0,2.35,0,580.61,0,22.27,24.42,0,0,0,0,0,6.99,0,4.7,0,0
