stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.74,0,107.67,3.18,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,16.76
 24-34,0,7.32,0,0,6.37,0,0,0.79,0,0,0,0,0.61,0.85,354.47,0,1158.01,51.02,0,0,11.44,49.34,6.17,0.77,0.71,0,4.17,0,0,1.27,10.5,0,2.55,0,68.37
 36-46,0,3.29,0,0,7.07,0,0,0.63,8.82,0,0,0,0,2.37,1004.51,0,1715.69,107.96,0,0,19.85,62.1,0,0,0,0,14.52,0,0,0,10.15,0,0.6,0,51.61
 48-58,0,5.59,3.91,0,29.6,0,0,0.76,3.25,0,0,4.87,0,0,1322.81,2.1,633.19,192.63,0.65,0,39.06,78.69,0,0,0,0,11.4,0,10.9,0,12.72,0,0.41,0,85.84
 60-70,0,2.81,0,0,34.14,0,3.31,0,16.04,0,0.78,0.71,0.61,0,2579.63,8.39,101.28,328.33,0,9.35,151.95,49.21,0,0,0,0,16.09,0,0,0,8.58,0,0.71,0,33.11
 72-82,0,5.18,0,0,54.74,0,1.19,0,17.72,9.08,0,5.82,2.87,0,2186.97,9.26,52,678.91,0,0.91,190.92,80.96,0,0,1.06,5.65,7,0,0,0,15.09,0.61,2.42,0,29.24
 84-94,0,13.69,0.83,0,36.88,0,0,0,15.32,0,0,2.52,0.73,2.06,3645.84,0,86.54,705.66,0,1.44,136.35,64.12,0,0,3.27,0,14.59,0,0,0,4.59,0,0.75,0,33.02
 96-106,1.8,4.3,11.82,0,70.17,1.31,0,0.75,93.46,1.59,0,4.51,11.43,4,3216.54,31.47,31.38,1023.2,0,32.23,185.95,48.36,18.3,0.75,0,0,22.76,5.71,0,0,10.19,0,0,1.02,22.47
108-118,0,11.13,8.22,1.93,36.86,0,2.4,0,49.93,1.08,0,2.68,4.64,2.64,4968.47,3.32,43.25,1746.39,0.47,4.1,118.5,64.65,0.69,0,0,1.73,43.26,0,0,0,0,0.96,2.1,1.46,42.02
120,0,10.38,1.22,0,35.55,0,0,0,120.2,0,0,1.85,1.79,0,3140.42,0,0,1983.4,0,10.41,162.46,127.62,0,9.52,0,0,23.5,0,0,0,12.38,0,0,0,15.39
