stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,neural,otic,periderm,slow_muscle,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,11.24,0,0,0,0,0,0
 14-21,1,1.88,1,0,0,0,0,2.85,0,0,0.88,0.91,0,2.64
 24-34,0,0.76,0,0,0,0,0.62,7.85,0,0,0,1.23,0,3.69
 36-46,0,2.84,0,0,0,0,0,43.61,0,0,0,4.62,0,0
 48-58,0,0,0,0,0,0,0,62.27,0,0,0,20.32,0,0
 60-70,0,8.76,0,0,0,0,1.11,106.85,0,0,0,21.93,0,0
 72-82,0.53,12.92,0,0,2.19,0,0.57,95.45,0,0,0,14.08,0,0
 84-94,0,15.07,0,0,3.21,0,0.61,101.1,0,0,0,6.28,0,0
 96-106,0,7.34,0,1.02,0.78,0.92,2.52,74.36,1.47,1.19,0,2.39,0,0
108-118,1.18,6.61,0,0,7.8,0,0,64.52,0,0,0,4.69,0.43,0
120,0,34.2,0,1.44,8.08,0,0,100.56,0,1.01,0,11.59,0,0
