stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,32.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,168.57,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.83,0,30.35,0,0,1045.43,0,0,0,0,0,0,0
 14-21,0,1.36,69.97,28.55,13.81,3270.02,0,1.12,0,0,0,4.7,16.47,25.55,1.54,0,0,14.08,5.17,0,0,5.21,34.98,0,1.07,1.53,3.98,4.37,0,4.6,4.92,0,557.66,0,0
 24-34,0,0,98.87,46.09,28.66,260.74,0,3.65,0,1.34,0.94,1.19,60.77,42.6,0,0,0,78.53,1.69,2.59,0,0,109.88,1.38,0,1.61,0,0,4.16,3.23,10.72,0,1359.18,0,0
 36-46,0,0,56.86,1.56,27.87,52.48,0,9.02,0,0,1.02,0,27.06,44.81,0,0,0,43.59,0.86,0,0,0.62,57.01,0.66,0,5.56,0,0,0,0,3.61,0,565.11,0,2.58
 48-58,0,0,31.27,5.8,11.01,13.36,0,5.58,0.37,0,1.27,0,29.69,70.29,0,0,0,44.47,12.82,0,0,0,56.74,0,0,3.18,0,0,0,0,3.33,0,388.15,0,0
 60-70,0,0,37.1,2.21,2.68,15.77,0,11.55,0,0,0.78,0,31.51,72.73,0,0,0,25.58,0,0,0,0,51.28,0.99,0,0,0,0,0,0,1.58,0,313.29,0,0
 72-82,0,0,36.17,25.56,15.72,15.4,0,7.78,0,3.99,0,0.63,40.44,96.42,0,0,0,15.57,3.55,0,0,0.68,31.74,0,0,0,0,0,0,0,0,0,482.18,0,6.09
 84-94,0,0,14.8,31.18,9.74,13.99,0,0.7,0,0,1.18,1.24,34.33,100.62,0,0,0,36.6,4.81,0,0,0,50.27,0,0,0.7,0,0,0,0,0,0,482.27,0,0
 96-106,0,0,26.72,40.05,5.59,31.92,4.27,19.96,0,0,0,0,36.99,113.94,0,2.39,0,61.57,16.63,0,0.92,0,45.77,0,0,2.12,0,9.57,0,0,4.62,0.72,430.95,4.71,0
108-118,0.67,0,9.99,72.35,11.54,32.48,0.47,25.22,1.72,0,0,1.54,14.97,81.84,0,0,0.69,87.36,4.95,0,0,0.52,24.41,0,0,0.48,0,9.07,0,0,0,0,486.04,0,0
120,0,0,48.62,39.61,1.66,68.53,0,13.28,0,0,0,0,21.01,165.93,0,0,0,98.05,2.56,0,0,0,46.84,0,0,2.28,0,0,0,0,0,0,596.57,0,0
