stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,314.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.32,767.02,0,0,0,0,0,0,0,0,0,0,24.03,0,0,0,0,0,58.22,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.09,15.38,0,18.02,0,0,23.69,0,0,0,0,0,11.74,0,0,0,0,0,448.16,79.62,0,0,283.91,12.85,0,0,0,0,0,0,0,0,0
 10-12,0,4.2,0,14.35,0,21.85,25.03,0,0,0,0,0,4.32,0,0,0,0,0,202.84,9.28,0,0,138.86,0,0,4.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.11,0,0,0,0,0,1.49,0,0,0,0,0.94,0,0,14.4,0,0,0,0,0,7.54,0,3.2,10.98,5.84,0,0,0,0
 24-34,0,0,0,0,0,0,1.3,0,0,0.67,2.35,0,0,1.7,0,12.63,0.69,2.58,86.02,0,0.78,0,0,0,0,0,0,0,10.89,0,0.6,0,0
 36-46,0,0,0,0,0.77,0,5.15,1.97,0,0,2.03,0,0,0,0,17.44,0,3.61,19.14,0,0,0,0,0,0,0,0,0,7.12,0,0,0,0
 48-58,0,0,0,0,7.45,0,68.73,0,0,5.88,10.41,0,0,0,0,10.69,0,1.82,56.9,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0
 60-70,0,0,0,0,4.72,0,64.09,0,0,0,3.78,0,0,0,0,21.58,0.7,0.77,13.17,0,8.3,0,0,0,0,0,0,0,8.69,1.03,0,0,0
 72-82,0,0,0,0,10.47,1.36,36.94,0,0,0,12.83,0,0,0,0,21.59,4.21,0,7.59,0.52,1.37,0,0,0,0,0,0,0,0,0,0.87,0.77,0
 84-94,0,0,0,0,1,0,30.62,0,1.36,1.39,11.09,0,0,0,0,11.3,1.84,2.83,2.46,0.56,0,0.85,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.46,0,7.79,0,0,4.26,12.35,0.85,0,0,0.66,13.69,0,1.42,1.93,0,1.84,0.6,0,0,0,0,0,0,0,0.77,0.78,0.65,0
108-118,0,0,0.71,0,3.27,0,8.22,0,0,0,32.14,0,0,0,0.64,10.72,0,0.72,9.06,0.47,0.72,0.43,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.75,0,10.45,7.8,0,0,73.81,0,0,0,0,1.34,3.7,5.09,9.59,0,2.28,0,0,0,0,0,0,0,0,0,0,12.33,7.26
