stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,190.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.81,53.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.77,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.38,0,0,144.13,0,0,0,0,0,1.78,0,0,14.47,0,0,281.34,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,349.99
 24-34,0,0,0,2.74,3.52,0,895.75,0,0,0,0.98,0,0.68,0,0,375.67,0,0.68,1436.27,8.01,0,1.21,5.61,202.03,3.11,1.36,0,0,0,24.88,0,0,2.18,38.38,0,0,0,0,1277.09
 36-46,0,0,0,0,0,0,642.41,0,2.34,1.55,7.61,0,0,0,0,2008.75,0.57,1.14,1091.26,27.23,0,5.63,8.32,145.7,0.62,1.3,0.62,0,0,3.05,1.06,0,0,24.76,0,0,7.34,0.78,483.39
 48-58,0,0,0,4.86,6.2,0,631.51,0,0.39,2.5,19.26,0,1.53,6.56,0.44,3865.94,0,0,432.32,35.06,2.45,0.83,7.54,296.75,2.95,0.58,0,0,0,10.05,0.46,8.51,0,46.23,0,0.91,5.63,0,356.86
 60-70,0,0,0,3.31,0.57,0,659.3,0,1.01,13.74,57.12,27.63,0.95,1.59,0,6384.26,0,9.86,73.97,53.72,0,27.47,3.59,225.6,0,1.08,1.79,0,0,0.76,0,2.94,0,30.57,0,14.01,0.72,53.52,74.05
 72-82,0,0,0,5.24,5.7,0,287.55,0,0,0.68,28.09,15.44,0,4.02,0,5860.98,0.68,4.1,40.38,32.62,0,22.21,0,202.75,0,7.59,0,0,4.06,12.68,0,0,0,41.96,0.67,28.6,5.51,118.25,109.82
 84-94,0,0,0,19.23,12.12,0,335.69,0,0.57,1.51,10.97,37.45,0,2.08,0,7835.12,0,0,87.25,30.67,3.28,38.87,1.46,145.12,2.03,0,8.19,0,0,15.31,0.6,0,0,11.04,0,36.25,5.18,173.57,93.54
 96-106,0,0,2.16,3.06,9.79,0.76,272.54,0,2.5,10.68,37.43,74.06,0.58,6.94,0,6301.78,0.79,28.4,27.63,65.78,3.01,25.35,3.87,119.72,24.68,2.27,1.85,0,5.34,24.59,7.34,0,0,0,0,38.08,1.27,196.55,60.74
108-118,0,0,0,4.09,9.1,0,220.82,0.76,2.36,0,17.39,241.23,0,3.49,1.07,10862.76,1.31,12.27,87.51,58.97,0,20.62,2.84,87,0.57,0,0,0,4.04,28.34,0,0.41,0,10.09,1.68,21.08,3,106.55,287.17
120,0,0,0,3.77,1.53,0,159.78,0,2.24,0,0,102.41,0,0,0,5077.28,1.54,0,23.97,23.05,0,30.51,0,60.1,0,29.56,5.02,0,5.07,12.66,0,0,0,8.24,0,23.17,11.99,96.08,97.64
