stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,34.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.96,0,0,0,13.3,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,28.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,0,0,23.5,0,0,0,0,0,0,0,0
 14-21,0,0.96,2.9,0,4.39,0,0,0,1.18,0,0,0,0,0,0,0,0,4.12,0,0,0.99,29.63,0,0,0,3.87,0,1.96,0,1.1,11.93,9.5,0,0
 24-34,0,0.68,10.2,0,3.31,0,0,0,2.22,0,0,0,0,0.63,0,1.61,3.11,4.27,0,0,5.78,101.79,0,1.06,1.77,0,7.2,0,3.57,0,2.2,21,0.64,0
 36-46,0,0,6.26,0,14.16,0.67,11.21,0,2.66,0,0,0,0,0,0,0,0,15.04,0,0.8,1.6,47.59,0,0,0,0,2.33,0,0,0.67,0,15.82,0,0.61
 48-58,0,0,13.68,0.56,32.33,0.96,2.33,0,6.44,0,0,0.39,0,0,0,0,0,4.93,0,0,5.79,40.91,0,0,0,0,5.73,0,0,0,0,14.99,0.66,0.83
 60-70,0,0,4.27,0,38.86,0,2.4,0,23.81,0,0,2.9,0,0,0,0,0,10.09,2.41,0.69,5.95,77.5,0,1.47,0.84,0,4.15,0,1.84,0,0,10.11,0,3.29
 72-82,0,0,2.37,0,62.34,0,0,0.54,7.51,0.63,0,0,0,0,0,0,0,22.08,0,0.75,0.97,51.27,0,0,0,0,4.27,0,2.81,0,0,0.79,0.98,0
 84-94,0,0,0,0,27.6,0,0,0,2.95,2.25,0,0,0,0.76,0,0,4.33,19.62,0,0,0.92,32.37,0,0,0,0,3.7,0,0,0,0,0,4.57,7.59
 96-106,0,0,2.82,0,21.79,0,0,0,9.3,0,0,0,0.66,0,0.63,0,3.42,19.72,1.13,0,4.09,48.18,0,0,2.01,1.2,6.52,0,0,0,0,3.79,0.97,0
108-118,0,0,2.95,0,18.44,0,0,0,3.32,0,0,0,0,0,0,0,0,14.7,0.7,1.43,0.62,40.84,0,0,0,8.11,1.23,0,0,0,0,1.14,0,1.6
120,0,0,1.47,1.34,21.64,0,2.33,0,0,0,0,0,0,0,0,0,0,9.44,0,0,4.45,119.52,6.42,0,2.59,0,3.4,0,0,0,0,0,0,0
