stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,49.26,0,0,0,0,0,0,0,0,0
  5-6,41.3,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.65,0,0,0
 10-12,0,0,0,0,0,0,0,9.63,0,0
 14-21,0,0,0,0,0,0,4.33,0,3.74,0
 24-34,0,0,0,1.16,0,0,17.95,0,0,0
 36-46,0,0,0,1.6,0,0,116.21,0,0,0
 48-58,0,0,0,0,0,0,80.07,0,1.08,0
 60-70,0,1.02,0,0,0,0,43.53,0,0,0
 72-82,0,2.38,0,1.84,6.14,0,46.61,0,0,0
 84-94,0,16.07,0,1.58,1.95,1.39,36.73,0,0,0.8
 96-106,0,0,12.06,0.68,0,0,19.12,0,0,0
108-118,0,0.97,0,0.91,0,0,34.05,0,0,1.26
120,0,1.43,0,0,0,0,29.19,0,1.64,0
