stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.61,0,0,7.59,0,4.15,0,0,0,0,0,0,0,14.87,0,0,5.8,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.08,0.65,0,0,0.8,0,1.13,132.09,0,9.99,0,1.03,0,1.32,0,5.35,0,152.85,0,0,9.03,16.36,0,0,0,0,0,0,0,5.01,0,0,0,0,0
 48-58,0,0,0,0.37,0,0,4.14,0,14.84,771.17,1.88,6.11,0,0.37,0.4,0,0,111.54,0.58,287.49,0,0,56.05,35.78,0,0,0,0,0,0,0,9.22,0,0,0,0,0
 60-70,0,0,0,8.29,0,8.3,63.35,0,23.69,1297.56,0,0.74,0,0,1.9,0.95,0,253.69,0,647.74,0,0,14.72,64.8,0,0,0,0,0,0,0,4.22,0,1.03,0,0,0
 72-82,0,0,0,11.06,6.59,106.37,117.05,0,31.12,2068.91,19.06,3.19,1.25,0,0,2.41,0,808.91,0,1896.03,1.2,0.86,71.93,235.86,0,0.67,0,0,2.71,0,0,19.96,0,5.07,4.23,3.88,14.79
 84-94,0,0,0,13.37,13.8,281.68,189.66,0,56.69,1586.43,23.91,6.02,0,0,8.4,4.19,11.76,2598.18,0,1807.78,0,1.32,61.02,254.36,0,0,5.97,0,30.22,7.12,0,17.82,2.01,2.25,2.1,4.98,0
 96-106,0,0,4.84,39.27,26.3,166.52,318.23,1.64,70.53,1776.47,51.51,11.08,0,12.18,7.81,0,3.22,3756.86,0,3119.57,3.99,14.32,51.44,700.2,4.43,2.86,0.56,5.22,34.11,11.9,0.74,1.51,2.09,2.84,29.09,16.49,0
108-118,0,0,0,20.17,20.71,100.75,185.08,15.1,29.17,1698.7,59.25,4.23,0,4.8,8.38,11.2,0,5913.46,6.43,4250.46,1.69,13.17,127.83,575.05,2.2,2.23,7.36,14.08,33.51,13.21,0,15.04,0.55,0,15.88,2.3,24.9
120,0,0,0,22.46,13.62,30.54,173.83,0,1.49,2132.55,61.74,1.47,0,2.4,14.63,0,0,3113.59,0,5319.99,0,26.1,84.9,591.22,0,0,0,0,13.71,12.73,0,0,4.46,0,15.9,0,0
