stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.57,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.93,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.98,6.33,7.15,0,5.4,0,0,0,0,0.84,0,0,6.71,0,0,0,0,14.56,0,0,11.67,104.19,1.61,1.84,0,6.32,0,1.96,8.84,0,0,18.02,32.38,0,0,2.03,0,0
 24-34,0,3.07,10.32,0.62,0,10.53,0,0,0.68,2.69,0,0.62,0,0,0.77,0,0,0,28.88,0,0,6.49,255.63,0,2,1.55,0,0,5.31,0,0.84,0,2.07,32.25,0,0,6.89,0,2.64
 36-46,0,0,2.11,0,0,47.85,0,0,0,14.94,0,0.75,0,0,1.49,0,0,0,23.97,0,0,3.56,214.45,2.15,3.62,0.57,0,0,10.21,0,0,0,0,60.58,0,0,1.31,0,1.34
 48-58,0,0,4.63,0,0,85.32,0,0,2.09,16.72,0,0,0,0,0.41,0,0,2.73,20.09,0,0,2.81,288.51,0,0,0,0,0,0.4,0,0,0,0,55.41,0,0,3.22,0,0
 60-70,0,0,3.2,0.62,0,213.04,0,0,0.63,7.13,0,0,0,1.02,0,0,1.06,0,26.62,0,1.61,0.93,319.66,0,1.43,0.82,0,0,7.94,0,0,0,0,29.63,0,0.63,3.25,0,1.64
 72-82,0,0,4.29,10.91,0,110.63,0,0,3.87,12.65,1.38,0,0,0,0,0.83,2.04,0,33.93,1.85,0,2.04,234.32,0,1.93,0.71,0,0,5.5,0,0,0,0,13.91,0,1.92,3.03,1.16,0
 84-94,0,0,5.4,10.45,1.52,75.38,1.88,2.26,0,5.49,7.16,0,3.96,0,0,0,0.83,0,21.06,0,3.11,5.77,142.73,0,2.61,4.01,0,0,19.71,0,0,0,0,0,3,0,2.96,0,0
 96-106,0,0,13.52,5.47,0,61.3,0,0,2.3,8.45,3.82,1,8.1,2.08,0.74,0,0,0,11.34,1.41,0.59,1.77,113.62,0,0,1.11,0,5.27,35.34,0,0,0.64,0,0,0,1.16,3.14,0,0.62
108-118,0.54,0,4.8,8.05,0,63.97,0,2.45,0,17.33,1.53,0.89,5.85,1.04,0.83,0,3.18,2.1,23.75,0.54,1.4,3.98,136.08,1.46,1.84,0.72,0,0,39.56,0,0,0,0,1.26,0.81,0,3.64,1.42,0
120,0,0,19.65,10.92,0,94.59,0,8.33,0,25.73,3.2,0,11.03,0,0,0,5.43,0,9.98,6.27,0,4.41,111.58,0,5.34,0,0,0,11.9,0,0,0,0,14.67,0,0,0,0,0
