stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,6.21,0,9.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,17.29,0,3.53,0,0,0,0,0,0
 14-21,0,1.13,21.11,3.08,0,0,0,0,1.17,1.05,0,0,4.28,0,0,0,0,0,2.33,0,0.94,30.76,2.25,1.74,0,0,0,66.26,3.42,0,15.66,0,0,0,0,0
 24-34,0,0,1.41,0,6.25,0,0,0,1.31,0,0,0,14.47,0,0,0,0,0,0,0,0,287,0,6.26,1.43,0,0,24.66,0,0,99.8,0,0,0,0,0
 36-46,0,0.98,0,0,6.14,0,0,0,1.3,0,0,0,1.18,0,0,0,0,1.89,0,0,1.47,734.64,0,18.68,0,0,0,25.17,0,0,210.19,0,0,4.58,0,0
 48-58,0,0.42,7.46,0,84.21,0,0,0.54,7.4,0,0,0,1.75,0,0,5.26,1.41,6.25,0.46,0,2.34,1233.88,0,6.27,0.61,0,0.4,9.57,0,0,217.95,0,0,0.52,0,0
 60-70,0,0,5.89,0,338.94,1.4,4.19,0,18.98,0,0,0,0.56,0,0.59,0,0,12.76,0,0.93,0,1819.78,0,16.21,0.56,0,0,9.06,0,1.06,241.15,0,0,0,0,0
 72-82,0,0,3.7,5.21,522.25,2.31,4.21,1.16,16.8,0,0.5,2.57,0.61,0.57,1.61,0,8.9,25.05,6.51,0,3.21,1740.95,0,13.85,11.2,0,0,4.51,0,0,158.47,0,0,3.54,0,22.8
 84-94,0,0,7.12,0,336.05,0,0,0,13.93,1.94,0,0,6.78,0.79,0,0,0,5.64,2.56,0,0,1014.62,0,15.73,4.24,0,0,9.12,0,0,131.55,0,1.64,0,0,0
 96-106,0,1.08,8.17,5.37,246.46,0,0.58,5.54,14.16,0.7,0,1.52,2.78,0,0,0,0,12.92,0,0,0,895.84,0,19.38,8,0,0,8.02,0,0,68.16,5.44,0,11.99,0.64,0
108-118,0,0.94,14.11,7.01,191.66,1.18,0.81,2.73,13.02,0,0,0,3.83,0,2.11,0,0,2.36,1.46,0,1.14,1344.5,0,5.33,8.18,0,0,3.98,0,1.06,48.14,0,0,0,1.11,0
120,0,0,26.28,0,163.24,0,0,1.66,67.11,0,0,0,4.63,0,2.11,0,0,19.81,0,0,2.14,1764.79,0,22.12,1.05,0,0,0,0,1.04,70.88,6.48,0,0,0,0
