stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,10.31,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.71,0.9,0,4.27,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0.85,0,0,1.37,17.45,0,0,0,0,0,0,0,0,0,0.93,2.93,0,0,0,0,0
 24-34,0,0,0,7.25,0,0,1.4,0,1.49,0,0,0,0,1.02,0,0,0,0,0,0,7.64,0,0,0.66,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0
 36-46,0,0,0,1.77,0,0,3.64,0,6.94,0,0,0,0,0,0,0,0,0,0,0,19.56,0,1.66,1,10.58,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0
 48-58,0,0,0,0.49,0,0,6.1,1.05,0,0,1.16,0,5.41,0,0,0,0,0,0,0,5.34,0,0.94,1.35,9.52,0,0,0,0,0,3.8,0,0,0,0,2.38,0,0,4.21,0,0.84
 60-70,0,0,0,1.29,0,0,62.26,0,0,0,6.35,0,0,0,0,1.02,0,0,0,0,17.91,0,0.81,0,55.69,0,0,0,0,0,3.47,0,0,0,0,3.33,0,0.73,0,0,7.78
 72-82,0,0,0,5.25,0,0,381.9,0,1.8,0,54.89,1.04,0.52,0,4.28,0.57,0,1.28,0,0,83.55,2.8,7.33,9.28,137.56,0,1.33,1.05,0,2.75,25.74,0,0,0,0,19.86,0.88,1.34,21.52,0,15.12
 84-94,0,0,0,15.36,5.67,1.09,301.31,0,10.1,0,51.99,4.14,1.22,0,3.65,4.66,10.66,0.81,0,0,73.94,9.6,4.27,12.59,145.78,0.79,3.04,3.69,0,4.92,36.09,0,0,1.91,0,14.1,1.17,1.38,13.84,1.82,0.62
 96-106,0,4.7,0,44.27,20.4,7.77,635.21,0.8,5.22,3.95,122.82,7.67,0,1.9,6.28,10.59,4.9,1.6,13.91,1.15,161.45,12.88,11.13,8.15,292.65,1.22,3.22,12.29,0,0,91.39,3.39,1.53,0,0,14.48,13.32,13.39,34.33,5.76,16.31
108-118,0,10.56,0,82.26,6.91,14.55,899.16,11.87,35.6,6.49,225.28,12.24,0,1.81,13.58,17.19,34.67,12.5,1.31,4.43,345.17,4.86,25.61,25.58,523.36,6.85,5.9,25.04,0,12.99,93.42,0,2.61,3.16,0,6.27,12.36,4.83,25.36,6.86,39.77
120,0,15.17,1.66,102.63,3.29,3.14,791.82,11.01,37.97,18.34,299.65,63.3,0,6.08,47.18,15.25,24.17,2.99,12.16,1.51,438.47,2.21,28.36,34.97,922.06,13.77,5.63,39.06,0,11.51,150.71,0,8.75,4.56,0,54.06,2.37,11.53,111.36,27.07,8.27
