stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,1.32,0,0,0,0.98,0,0,0,0,0,0,0,0,0,70.06,0,0,0,0,0,0,54.58,0,0,0,0
 24-34,1.75,2.29,6.41,0,5.79,0,0,1.57,0,0,0,0,0.73,4.01,0,0,0,0.76,378.8,0,7.05,0,0,4.95,8.94,153.11,0,0,0,0
 36-46,0,0,0,0,12.51,0,0,7.29,0,0,1.01,0,0,0,0,0,0,1.44,640.22,0,13.78,0,0,0,0,225.97,0,0,0,0
 48-58,0,6.29,0,0,101.76,0,0,15.52,2.39,0.57,0,0,0,0,27.49,1.96,0,0.53,1130.5,0,10.45,4.85,0,2.38,0,230.46,0,0,0.53,0
 60-70,0,3.21,0,0,282.6,0.82,0,27.81,0.85,0,8.53,7.43,0,0,20.75,0,0,1.27,1506.78,0,10.52,0,0,7.32,0,242.01,0,0,0,13.8
 72-82,0.64,4.15,3.05,0,362.22,0,4.79,17.35,0,0,2.95,6.84,0.6,0,7.92,0,1.57,2.98,1664.76,0,12.7,0,0,2.97,8.92,191.05,0,0.73,0.72,0
 84-94,0,6.17,5.12,0,208.34,0,0,26.4,0,3.78,2.57,0.67,0,0,23.84,0,0,1.56,1095.93,0.65,6.99,1.23,0,1.3,0,121.07,0,0,0,0
 96-106,2.86,8.08,26.88,0.8,191.2,0.98,0.64,44.2,1.97,1.71,0,2.58,1.14,0,23.59,0,1.14,0.67,885.81,0,0.83,1.86,0,6.74,0,37.82,0,0.57,0,18.31
108-118,0,14.64,0,2.51,220.23,0,0,26.34,0,0.41,0,7.27,0,0,13.51,0,0,0.51,1133.98,0,3.79,0.56,2.37,0.62,0,66.29,3.65,0,0.56,0
120,0,3.19,6.61,0,286.12,0,0,71.25,0,22.57,0,0,0,0,17.49,0,0,5.74,2607.99,0,12.39,0,0,19.95,0,138.33,0,0,0,2.34
