stage,epidermis,eye,glial,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,5.28,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.14,0,0
 14-21,0,0,0,0,3.25,2.28,3.29,0,0,1.01,2.17
 24-34,0.82,0,0,0,0,0,1.56,0.61,0,0,0
 36-46,0,0,0,1.46,0,0,7.52,0,0,0,0
 48-58,0,0,0.56,0,0.85,0,6.09,0,0,0,2.35
 60-70,0,0,0,0,0,0,0.93,0,0,0,0
 72-82,1.39,0,0.94,0,1.93,0,4.79,0,0,0,0.87
 84-94,0,0,0,0,1.04,0,3.99,0,0,0,0
 96-106,0.86,1.27,0,0,0,0,0,0,0,0,0
108-118,0.88,0,0.95,0,1.4,0,0,0,0,0,0
120,0,0,5.06,0,1.87,0,6.25,0,0,0,0
