stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.62,371.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.27,299.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,8.18,0,3.83,0,0,11.94,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,253.63,14.13,0,0,41.41,0,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,23.99,0,30.01,0,0,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.4,10.19,0,0,73.55,0,5.47,0,10.11,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,12.59,5.03,5.67,0,0,5.82,1.16,0,2.21,0,0,0,0,0,0,9.5,0,0,7.45,76.56,0,0,0,1.77,0,0,8.64,1.01,1.99,33.06,0,0,3.01,0,0
 24-34,0,0,0,0,3.34,1.27,17.82,0,2.16,9.55,0.69,0,0,0,0,3.9,0,0,0,30.67,0.95,0,10.36,209.68,0,0.63,4.11,0,0,0,0,0,4.15,55.79,0,0,3.61,0,6.99
 36-46,0,0,0,0.63,5.9,1.13,49.09,0,1.34,3.64,0,0,0,2.57,0,7.93,0,0,0,19.14,0.63,1.63,10.23,173.35,0,1.86,0.58,0,0,0,0,0,0,42.35,0,0,1.6,0,4.73
 48-58,0,0,0,0,8.33,1.54,38.64,1.44,1.52,15.16,0,0,0,0,0,16.56,1.39,0,1.41,22.43,0.47,2.78,9.95,142.98,4.98,0,0.59,0,0,0,0,0,0,19.96,0,0,7.97,0,14.04
 60-70,0,0,0,0,0,3.92,28.89,0,8.4,6.21,0,0,0,0.72,0,12.63,0,9.86,0,23.16,0,0,1.18,58.25,1.69,0,3.63,0,3.42,0,0,0,0,1.07,0,0,0.72,0,8.47
 72-82,0,0,1.14,0,1.18,1.36,10.58,0,7.96,21.86,0.63,0,2.04,0,0,2.67,0,0,0,40.68,2.37,3.26,3.67,43.26,1.48,0,2.99,0,0,0,0,0,0,5.14,0.71,4.07,2.89,0.71,5.35
 84-94,0,0,0,0,1.35,0,7.99,0,1.9,2.6,0,0.99,0,3.94,0,5.66,0,0,2.53,24.85,0,0,1.76,25.4,4.09,0,2.76,0,0.82,0,0,0,0,0,1.21,0,7.69,0,0
 96-106,0,0,0,0,2.73,0,5.62,0,0,11.38,0,0,0,1.71,0.56,11.79,0,0,0,12.88,0,0,1.88,8.19,0.79,0,22.64,0,1.25,0,0,0.7,0,0.67,0,0,0,0,0.75
108-118,0,0,0,0,2.18,0.56,12.43,0,2.69,26.4,0,0,0,2.68,0,11.11,0,0,1.75,9.6,0,0,3.95,37.77,0.57,0,0.9,0,0,0,0,0,0,6.78,3.08,0,5.93,0,1.59
120,0,0,0,0,1.09,1.34,5.67,0,0,61.7,1.85,0,0,2.39,0,0,0,0,10.17,37.06,0,0,0,47.77,0,2.89,0,0,5.41,0,0,0,0,1.57,1.98,0,4.04,0,0
