stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.48,505.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,449.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.07,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.83,0,0,0,10.71,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,51.45,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.98,0,0,0,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.57,0,0,0,4.46,0,20.69,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,71.94,0,0,5.69,0,8.85,0,0,3.87,0,1.52,0,0.81,0,0,0,0,11.87,3.3,0,1.23,27.73,0.82,0,5.65,0,0,806.75,1.12,0,1.75,9.97,0,0,1.35,0,0
 24-34,0,0,0.64,19.42,9.25,0,1.52,0,33.79,1.02,2.95,0,6.16,2.36,0,0.72,0,0,1.53,0,47.27,10.37,0,8.05,68.65,0,5.12,6.37,0,0,1587.03,0,1.28,1.29,38.71,0,0,2.34,0,13.42
 36-46,0,0,0,2.71,0,0,6.1,0,25.69,0,16.74,0,0,3.07,2.77,2.45,0,0,0,0,39.36,6.97,2.79,2.26,53.11,0.72,6.43,0.69,0,0,1326.17,0,0.62,0,27.47,0,0,13.09,0,11.51
 48-58,0,0,0,12.21,0,0,10.78,0,10.68,2.07,25.89,0.44,0,2.72,0,0,0,0.91,0,1.32,68.4,5.18,3.75,6.65,34.85,0.41,4.07,0,0,0,661.11,0,3.68,0,19.22,0,0,0.48,0,23.72
 60-70,0,0,0,0,0,0,49.85,7.72,18.54,1.71,202.02,0.86,0,0,0,1.16,0,0,0.72,0,92.41,0.85,2.39,10.87,43.86,0,1.08,9.25,0,5.22,410.29,0,7.98,0,9.21,0,0.68,0,0,38.4
 72-82,0,0,0,1.31,3.24,0,24.02,19.06,6.22,0.94,278.47,3.52,0,0,0,1.16,0,0.67,10.9,0,119.68,0.95,21.84,10.76,87.29,0,2.86,7.28,0,0,107.1,0,16.66,0,3.49,0.51,0,1.06,5.95,34.7
 84-94,0,0,0,33.93,0,0,52.68,26.78,4.05,7.15,240.8,4.05,0,0,0,6.07,0.74,0,0,0,54.32,0,3.31,8.37,92.99,0,1.55,2.58,0,2.02,251.55,0,58.29,0,15.27,5.07,0,0.57,1,15.53
 96-106,0,0,0,15.5,0,0,44.76,29.11,5.61,0,301.45,19.95,0,0,0,1.23,0,3.39,0,0,42.14,0,2.32,3.41,61.12,0,7.69,1.52,0,5.25,112.96,0,48.6,0,0.67,0,0,0,9.07,10.31
108-118,0,0,0,8.36,0.58,9.84,24.84,34.89,8.34,1.55,243.9,37.47,0,0,0,1.07,0.42,1.3,4.87,0,27.8,2.77,11.4,12.18,79.96,0,3.61,6.25,0,7.6,87.33,0,98.28,0,3.63,0,0,0,6.4,11.74
120,0,0,0,1.16,0,0,20.35,41.52,12.61,13.32,212.86,74.62,0,0,0,1.77,0,3.84,0,0,8.8,0,0,3.11,120.41,0,1.15,5.85,0,0,27.24,0,62.75,0,0,0,0,0,8.87,4.74
