stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,57.75,2190.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.66,0,0,0,0,0,0,0
  5-6,70.14,3644.28,0,46.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.06,0,0,13.26,630.29,0,0,0,0,0,0,0
  7-9,0,77.77,0,1154.22,0,0,97.47,0,0,0,6.38,0,0,0,0,0,0,0,0,0,2528.54,26.06,0,487.1,14.35,11.18,0,0,0,0,0,0
 10-12,0,27.84,0,271.94,0,4.95,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,783.56,8.46,0,183.51,8.88,8.7,0,66.7,0,0,0,0
 14-21,0,0,1.13,5.73,20.48,1.83,12.85,0,0.93,2,0,0,0,0.92,0,77.78,0.87,15.3,0,3.62,82.7,0,2.68,3.84,0.96,3.89,17.85,0,1.24,8.72,54.54,2.06
 24-34,0,0,0.84,0.7,1.98,0,4.79,0,0,0,0,0,0,0,0,17.37,0.63,6.35,0,1.7,65.45,0,1.94,0,1.25,0,0,0,0,0,29.17,0
 36-46,0,0,0,0,0,0,48.73,0,0.85,0,0,0,0,0,0,0,0,6.49,1.12,1.09,63.78,0,0,0,0,0,0,0,0,0,15.69,0
 48-58,0,0,0.54,0,0,0,40.45,0,0.54,0,0,0,0,0,0,0,0,4.92,0.45,0.53,25.53,0,0,0,0,0,0,0,0,0,7.85,0.77
 60-70,0,0,0.82,0,0,0,51.73,0,1.87,0,0,0,0,0,0,0,0,2.11,0.59,1.98,13.84,0,0,0,0,0,0,0,0,0,9.33,0
 72-82,0,0,0.68,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0,4.92,2.08,0,5.15,0,0,0,0,0,0,0,0,0,2.37,0
 84-94,0,0,1.16,0,1.9,0,28.21,0,0,0,0,0,0.61,0,0,0,0,2.94,0,0,9.15,0,1.18,0,0,0,0,0,0,0,0,1.73
 96-106,0,0,1.28,0,0,0,50.37,0,1.32,0,0,0.61,0,0,0,0,0,3.45,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,22.61,2.53,1.74,0,0,0,0,0,0.62,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0.69,0,1.5,1.46
120,0,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0,0,0,1.28,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0
