stage,epidermis,eye,mesenchyme,neural,olfactory,periderm,pronephros
 14-21,1.83,0,0,1.56,0,0,0
 48-58,0,0,0,1.1,0.87,4.08,0
 60-70,0,0,0,2.04,0,2.68,0
 72-82,0,0,0.53,2.69,0,2.2,0
 84-94,0,0,0,0,0,7.49,0
 96-106,0,6.07,0,3.15,0,6.08,0.78
108-118,0,0,0,0,0,7.12,0
120,0,1.48,0,0,0,1.62,0
