stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.89,0,0,9.21,0,0,0,0,0,0,0,0,0
 14-21,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,1.24,0,0.94,0,0,0,0,0
 24-34,0,0.67,0,0,0,0,0,0,0,0,0,1.29,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.73,0,0,0,0,0,0,9.57,0,0,14.5,0,0,0,0,0,0,0,1.18,0,0,0,0
 48-58,0,0,0,0,5.14,3.15,2.57,0,0,0,0,0.46,1.05,0,3.73,1.07,0,0,3.3,0,0,0,0,0,0,0,0
 60-70,0,0.57,0,0,10.11,0,0,0,0,0,0,0,5.03,0,17.95,0,0,0,0.97,0,1.8,0,0,0,0,0,0
 72-82,0,0,0.67,0,5.16,1.52,0,0,0,0,0,0,5.08,0,9.02,0,0,0,2.21,0,0,0,0,1.37,0.5,0.57,0
 84-94,0,1.45,0,0,0.69,2.3,0,0,0,0,0,0,0,0,2.83,0,1.05,0,0.58,0,0.67,0,0,0,0,0,0.77
 96-106,0,0,0,0,9.18,1.4,0,1.02,0.56,0,0.58,0,0.8,0,0,3.15,0.98,0,0,0,0,0,0,2.03,2.74,0,0
108-118,1.39,1.36,0,0.55,11.37,0.68,3.27,0,0,1.18,0,0,1.79,0.99,17.47,0,0.45,0,3.05,0,0.72,0,0,0,0,0,0
120,0,3.21,0,0,0,0,0,0,0,0,0,8.73,12.38,0,20.33,0,0,0,0,0,0,0,0,0,0,0,0
