stage,eye,fin_epithelia,neural,periderm
  7-9,0,0,8.57,0
 14-21,0,0,0,6.21
 24-34,0,0,0,10.28
 36-46,0,0,0,3.17
 48-58,0,2.55,0,8.34
 60-70,0,0,0,11.5
 72-82,0,0,1.46,2.94
 84-94,0,0,0,2.17
 96-106,0,0,0,16.68
108-118,0,0,0,4.21
120,1.15,0,0,1.54
