stage,epidermis,eye,glial,gut,ionocyte,mesenchyme,mural.cell,neural,notochord,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,25.88,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.03
 24-34,0,0,0,0,2.19,0,0,3.92,0,3.72,0
 36-46,2.47,5.43,0,0,0,0,0,6.52,0.6,4.03,0
 48-58,0,0.42,0,0,0,0,0,8.89,0,0,0.6
 60-70,0,6.89,1.48,0,0,2.66,0,17.41,0,0,0
 72-82,0,3.07,2.09,0.53,0,1.22,0,4.49,0,0,1.27
 84-94,0,0,0,0.6,0,1.6,0,0,0,0,1.99
 96-106,0,0,0,0,0,0,0.94,0,0,3.18,0
108-118,0,0,0,0,0.44,0,0,0,0,0.47,0
120,0,0,0,0,4.52,0,0,0,0,0,0
