stage,endoderm,epidermis,eye,fast.muscle,glial,gut,immune,mesenchyme,neural,spinal.cord,taste,vascular.smooth.muscle
 14-21,0.9,1.12,0,0,0,1.66,0,0,2.65,0.86,0,0
 24-34,0,0,0,0,0,1.02,0,0,1.21,2.11,0,0
 36-46,0,0,0,0,0,0,0,0,12.05,1.01,0,0
 48-58,0,0,0.91,0.39,0,0,0,0,27.87,3.06,0,0
 60-70,0,0,0,0,0,0,0,0,86.2,11.16,0,0
 72-82,0,0,8.28,3.57,1.33,0,0,2.48,87.2,8.19,2.98,0
 84-94,0,0,10.64,0,0.59,0.86,0.91,0,51,9.91,0,0
 96-106,0,0,12.61,0,1.45,0.64,0,0,66.29,1.18,0,0
108-118,0,2.5,10.47,1,2.3,0,0,1.34,91.1,0,0,0.53
120,0,2.81,13.76,0,3.32,1.34,0,0,93.38,0,0,0
